Fecha_filtro,Marea_filtro,,
30/04/2021 21:00,2.185,30/04/2021 0:00,21:00:00
30/04/2021 21:30,1.726,30/04/2021 0:00,21:30:00
30/04/2021 22:00,1.278,30/04/2021 0:00,22:00:00
30/04/2021 22:30,0.868,30/04/2021 0:00,22:30:00
30/04/2021 23:00,0.52,30/04/2021 0:00,23:00:00
30/04/2021 23:30,0.255,30/04/2021 0:00,23:30:00
01/05/2021 0:00,0.086,01/05/2021 0:00,0:00:00
01/05/2021 0:30,0.024,01/05/2021 0:00,0:30:00
01/05/2021 1:00,0.07,01/05/2021 0:00,1:00:00
01/05/2021 1:30,0.223,01/05/2021 0:00,1:30:00
01/05/2021 2:00,0.472,01/05/2021 0:00,2:00:00
01/05/2021 2:30,0.802,01/05/2021 0:00,2:30:00
01/05/2021 3:00,1.191,01/05/2021 0:00,3:00:00
01/05/2021 3:30,1.615,01/05/2021 0:00,3:30:00
01/05/2021 4:00,2.047,01/05/2021 0:00,4:00:00
01/05/2021 4:30,2.461,01/05/2021 0:00,4:30:00
01/05/2021 5:00,2.831,01/05/2021 0:00,5:00:00
01/05/2021 5:30,3.134,01/05/2021 0:00,5:30:00
01/05/2021 6:00,3.352,01/05/2021 0:00,6:00:00
01/05/2021 6:30,3.472,01/05/2021 0:00,6:30:00
01/05/2021 7:00,3.486,01/05/2021 0:00,7:00:00
01/05/2021 7:30,3.395,01/05/2021 0:00,7:30:00
01/05/2021 8:00,3.205,01/05/2021 0:00,8:00:00
01/05/2021 8:30,2.929,01/05/2021 0:00,8:30:00
01/05/2021 9:00,2.587,01/05/2021 0:00,9:00:00
01/05/2021 9:30,2.204,01/05/2021 0:00,9:30:00
01/05/2021 10:00,1.805,01/05/2021 0:00,10:00:00
01/05/2021 10:30,1.417,01/05/2021 0:00,10:30:00
01/05/2021 11:00,1.064,01/05/2021 0:00,11:00:00
01/05/2021 11:30,0.769,01/05/2021 0:00,11:30:00
01/05/2021 12:00,0.548,01/05/2021 0:00,12:00:00
01/05/2021 12:30,0.417,01/05/2021 0:00,12:30:00
01/05/2021 13:00,0.382,01/05/2021 0:00,13:00:00
01/05/2021 13:30,0.444,01/05/2021 0:00,13:30:00
01/05/2021 14:00,0.601,01/05/2021 0:00,14:00:00
01/05/2021 14:30,0.841,01/05/2021 0:00,14:30:00
01/05/2021 15:00,1.149,01/05/2021 0:00,15:00:00
01/05/2021 15:30,1.506,01/05/2021 0:00,15:30:00
01/05/2021 16:00,1.89,01/05/2021 0:00,16:00:00
01/05/2021 16:30,2.277,01/05/2021 0:00,16:30:00
01/05/2021 17:00,2.641,01/05/2021 0:00,17:00:00
01/05/2021 17:30,2.96,01/05/2021 0:00,17:30:00
01/05/2021 18:00,3.212,01/05/2021 0:00,18:00:00
01/05/2021 18:30,3.38,01/05/2021 0:00,18:30:00
01/05/2021 19:00,3.454,01/05/2021 0:00,19:00:00
01/05/2021 19:30,3.427,01/05/2021 0:00,19:30:00
