Fecha_filtro	Marea_filtro
02/05/2021 09:30:00	2.776
02/05/2021 10:00:00	2.472
02/05/2021 10:30:00	2.135
02/05/2021 11:00:00	1.787
02/05/2021 11:30:00	1.452
02/05/2021 12:00:00	1.15
02/05/2021 12:30:00	0.899
02/05/2021 13:00:00	0.715
02/05/2021 13:30:00	0.609
02/05/2021 14:00:00	0.588
02/05/2021 14:30:00	0.652
02/05/2021 15:00:00	0.795
02/05/2021 15:30:00	1.009
02/05/2021 16:00:00	1.279
02/05/2021 16:30:00	1.589
02/05/2021 17:00:00	1.92
02/05/2021 17:30:00	2.249
02/05/2021 18:00:00	2.557
02/05/2021 18:30:00	2.822
02/05/2021 19:00:00	3.027
02/05/2021 19:30:00	3.159
02/05/2021 20:00:00	3.209
02/05/2021 20:30:00	3.173
02/05/2021 21:00:00	3.053
02/05/2021 21:30:00	2.855
02/05/2021 22:00:00	2.593
02/05/2021 22:30:00	2.283
02/05/2021 23:00:00	1.945
02/05/2021 23:30:00	1.603
03/05/2021 00:00:00	1.277
03/05/2021 00:30:00	0.985
03/05/2021 01:00:00	0.746
03/05/2021 01:30:00	0.572
03/05/2021 02:00:00	0.473
03/05/2021 02:30:00	0.454
03/05/2021 03:00:00	0.519
03/05/2021 03:30:00	0.661
03/05/2021 04:00:00	0.872
03/05/2021 04:30:00	1.138
03/05/2021 05:00:00	1.442
03/05/2021 05:30:00	1.768
03/05/2021 06:00:00	2.095
03/05/2021 06:30:00	2.403
03/05/2021 07:00:00	2.675
03/05/2021 07:30:00	2.893
03/05/2021 08:00:00	3.045
03/05/2021 08:30:00	3.121
03/05/2021 09:00:00	3.119
03/05/2021 09:30:00	3.039
03/05/2021 10:00:00	2.887
03/05/2021 10:30:00	2.674
03/05/2021 11:00:00	2.415
03/05/2021 11:30:00	2.127
03/05/2021 12:00:00	1.829
03/05/2021 12:30:00	1.54
03/05/2021 13:00:00	1.278
03/05/2021 13:30:00	1.06
03/05/2021 14:00:00	0.899
03/05/2021 14:30:00	0.805
03/05/2021 15:00:00	0.782
03/05/2021 15:30:00	0.831
03/05/2021 16:00:00	0.948
03/05/2021 16:30:00	1.124
03/05/2021 17:00:00	1.349
03/05/2021 17:30:00	1.608
03/05/2021 18:00:00	1.884
03/05/2021 18:30:00	2.161
03/05/2021 19:00:00	2.419
03/05/2021 19:30:00	2.643
03/05/2021 20:00:00	2.817
03/05/2021 20:30:00	2.93
03/05/2021 21:00:00	2.976
03/05/2021 21:30:00	2.951
03/05/2021 22:00:00	2.855
03/05/2021 22:30:00	2.694
03/05/2021 23:00:00	2.478
03/05/2021 23:30:00	2.222
04/05/2021 00:00:00	1.941
04/05/2021 00:30:00	1.655
04/05/2021 01:00:00	1.38
04/05/2021 01:30:00	1.132
04/05/2021 02:00:00	0.926
04/05/2021 02:30:00	0.773
04/05/2021 03:00:00	0.683
04/05/2021 03:30:00	0.662
04/05/2021 04:00:00	0.71
04/05/2021 04:30:00	0.825
04/05/2021 05:00:00	1
04/05/2021 05:30:00	1.224
04/05/2021 06:00:00	1.483
04/05/2021 06:30:00	1.763
04/05/2021 07:00:00	2.046
04/05/2021 07:30:00	2.317
04/05/2021 08:00:00	2.559
04/05/2021 08:30:00	2.757
04/05/2021 09:00:00	2.899
04/05/2021 09:30:00	2.978
04/05/2021 10:00:00	2.989
04/05/2021 10:30:00	2.932
04/05/2021 11:00:00	2.812
04/05/2021 11:30:00	2.635
04/05/2021 12:00:00	2.415
04/05/2021 12:30:00	2.165
04/05/2021 13:00:00	1.904
04/05/2021 13:30:00	1.646
04/05/2021 14:00:00	1.41
04/05/2021 14:30:00	1.209
04/05/2021 15:00:00	1.055
04/05/2021 15:30:00	0.957
04/05/2021 16:00:00	0.92
04/05/2021 16:30:00	0.945
04/05/2021 17:00:00	1.03
04/05/2021 17:30:00	1.168
04/05/2021 18:00:00	1.351
04/05/2021 18:30:00	1.566
04/05/2021 19:00:00	1.801
04/05/2021 19:30:00	2.04
04/05/2021 20:00:00	2.268
04/05/2021 20:30:00	2.47
04/05/2021 21:00:00	2.633
04/05/2021 21:30:00	2.747
04/05/2021 22:00:00	2.806
04/05/2021 22:30:00	2.804
04/05/2021 23:00:00	2.74
04/05/2021 23:30:00	2.618
05/05/2021 00:00:00	2.445
05/05/2021 00:30:00	2.233
05/05/2021 01:00:00	1.996
05/05/2021 01:30:00	1.748
05/05/2021 02:00:00	1.506
05/05/2021 02:30:00	1.281
05/05/2021 03:00:00	1.089
05/05/2021 03:30:00	0.94
05/05/2021 04:00:00	0.845
05/05/2021 04:30:00	0.809
05/05/2021 05:00:00	0.836
05/05/2021 05:30:00	0.923
05/05/2021 06:00:00	1.067
05/05/2021 06:30:00	1.258
05/05/2021 07:00:00	1.485
05/05/2021 07:30:00	1.735
05/05/2021 08:00:00	1.994
05/05/2021 08:30:00	2.246
05/05/2021 09:00:00	2.475
05/05/2021 09:30:00	2.669
05/05/2021 10:00:00	2.815
05/05/2021 10:30:00	2.905
05/05/2021 11:00:00	2.933
05/05/2021 11:30:00	2.897
05/05/2021 12:00:00	2.799
05/05/2021 12:30:00	2.647
05/05/2021 13:00:00	2.45
05/05/2021 13:30:00	2.221
05/05/2021 14:00:00	1.977
05/05/2021 14:30:00	1.733
05/05/2021 15:00:00	1.504
05/05/2021 15:30:00	1.303
05/05/2021 16:00:00	1.143
05/05/2021 16:30:00	1.032
05/05/2021 17:00:00	0.976
05/05/2021 17:30:00	0.977
05/05/2021 18:00:00	1.034
05/05/2021 18:30:00	1.144
05/05/2021 19:00:00	1.299
05/05/2021 19:30:00	1.49
05/05/2021 20:00:00	1.703
05/05/2021 20:30:00	1.927
05/05/2021 21:00:00	2.146
05/05/2021 21:30:00	2.347
05/05/2021 22:00:00	2.518
05/05/2021 22:30:00	2.648
05/05/2021 23:00:00	2.727
05/05/2021 23:30:00	2.75
06/05/2021 00:00:00	2.714
