Fecha_filtro	Marea_filtro
30/04/2021 03:10:00	2.084
30/04/2021 03:20:00	2.237
30/04/2021 03:30:00	2.386
30/04/2021 03:40:00	2.532
30/04/2021 03:50:00	2.672
30/04/2021 04:00:00	2.805
30/04/2021 04:10:00	2.931
30/04/2021 04:20:00	3.049
30/04/2021 04:30:00	3.158
30/04/2021 04:40:00	3.257
30/04/2021 04:50:00	3.346
30/04/2021 05:00:00	3.423
30/04/2021 05:10:00	3.49
30/04/2021 05:20:00	3.544
30/04/2021 05:30:00	3.585
30/04/2021 05:40:00	3.614
30/04/2021 05:50:00	3.63
30/04/2021 06:00:00	3.634
30/04/2021 06:10:00	3.624
30/04/2021 06:20:00	3.601
30/04/2021 06:30:00	3.566
30/04/2021 06:40:00	3.518
30/04/2021 06:50:00	3.458
30/04/2021 07:00:00	3.386
30/04/2021 07:10:00	3.303
30/04/2021 07:20:00	3.21
30/04/2021 07:30:00	3.107
30/04/2021 07:40:00	2.996
30/04/2021 07:50:00	2.876
30/04/2021 08:00:00	2.749
30/04/2021 08:10:00	2.616
30/04/2021 08:20:00	2.478
30/04/2021 08:30:00	2.335
30/04/2021 08:40:00	2.19
30/04/2021 08:50:00	2.044
30/04/2021 09:00:00	1.896
30/04/2021 09:10:00	1.749
30/04/2021 09:20:00	1.604
30/04/2021 09:30:00	1.461
30/04/2021 09:40:00	1.322
30/04/2021 09:50:00	1.188
30/04/2021 10:00:00	1.059
30/04/2021 10:10:00	0.937
30/04/2021 10:20:00	0.822
30/04/2021 10:30:00	0.715
30/04/2021 10:40:00	0.617
30/04/2021 10:50:00	0.529
30/04/2021 11:00:00	0.45
30/04/2021 11:10:00	0.383
30/04/2021 11:20:00	0.326
30/04/2021 11:30:00	0.281
30/04/2021 11:40:00	0.248
30/04/2021 11:50:00	0.226
30/04/2021 12:00:00	0.217
30/04/2021 12:10:00	0.22
30/04/2021 12:20:00	0.235
30/04/2021 12:30:00	0.262
30/04/2021 12:40:00	0.301
30/04/2021 12:50:00	0.352
30/04/2021 13:00:00	0.413
30/04/2021 13:10:00	0.486
30/04/2021 13:20:00	0.568
30/04/2021 13:30:00	0.66
30/04/2021 13:40:00	0.762
30/04/2021 13:50:00	0.871
30/04/2021 14:00:00	0.988
30/04/2021 14:10:00	1.112
30/04/2021 14:20:00	1.242
30/04/2021 14:30:00	1.376
30/04/2021 14:40:00	1.515
30/04/2021 14:50:00	1.657
30/04/2021 15:00:00	1.802
30/04/2021 15:10:00	1.947
30/04/2021 15:20:00	2.093
30/04/2021 15:30:00	2.237
30/04/2021 15:40:00	2.38
30/04/2021 15:50:00	2.52
30/04/2021 16:00:00	2.655
30/04/2021 16:10:00	2.786
30/04/2021 16:20:00	2.911
30/04/2021 16:30:00	3.029
30/04/2021 16:40:00	3.14
30/04/2021 16:50:00	3.242
30/04/2021 17:00:00	3.334
30/04/2021 17:10:00	3.417
30/04/2021 17:20:00	3.489
30/04/2021 17:30:00	3.551
30/04/2021 17:40:00	3.6
30/04/2021 17:50:00	3.638
30/04/2021 18:00:00	3.663
30/04/2021 18:10:00	3.677
30/04/2021 18:20:00	3.677
30/04/2021 18:30:00	3.665
30/04/2021 18:40:00	3.64
30/04/2021 18:50:00	3.603
30/04/2021 19:00:00	3.553
30/04/2021 19:10:00	3.492
30/04/2021 19:20:00	3.419
30/04/2021 19:30:00	3.334
30/04/2021 19:40:00	3.239
30/04/2021 19:50:00	3.134
30/04/2021 20:00:00	3.02
30/04/2021 20:10:00	2.897
30/04/2021 20:20:00	2.767
30/04/2021 20:30:00	2.631
30/04/2021 20:40:00	2.488
30/04/2021 20:50:00	2.342
30/04/2021 21:00:00	2.192
30/04/2021 21:10:00	2.04
