% Device,CC1404006
% File name,CC1404006_20210504_215433
% Cast time (UTC),2021-05-04 21:54:33
% Cast time (local),2021-05-04 16:54:33
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,2.8500409
% Start longitude,-78.2214044
% Start altitude,21.030000686645508
% Start GPS horizontal error(Meter),1.2000000476837158
% Start GPS vertical error(Meter),2.9700000286102295
% Start GPS number of satellites,9
% End latitude,2.8501109
% End longitude,-78.2206697
% End altitude,25.069999694824219
% End GPS horizontal error(Meter),11.050000190734863
% End GPS vertical error(Meter),32.130001068115234
% End GPS number of satellites,8
% Cast duration (Seconds),192.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-05-16
% Temperature calibration date,2017-05-16
% Pressure calibration date,2017-05-15
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15086910970565223,28.83378274332544,46177.589843749993,42889.044286485048,27.580270984661684,1535.3812470310998,1016.5614558684931
0.44999999999999996,0.45253833605903993,28.716677869205885,46846.622038783164,43605.286008983523,28.095055978259403,1535.6659995650618,1016.9858583649286
0.74999999999999989,0.75413708099048649,28.698299997845346,46944.925407425311,43711.742652289722,28.171622027887356,1535.7105531042848,1017.0504063108353
1.05,1.0556885862120982,28.581272055833022,47270.3543458713,44110.892231724567,28.459312968661791,1535.7578561717448,1017.3049183058954
1.35,1.3571259332584629,28.419088735142392,48041.584989401192,44966.683377543704,29.07720494779538,1536.0505073644135,1017.8213278844123
1.65,1.6584811956094765,28.3823802594208,48057.924757715096,45012.909244744609,29.110636385837797,1536.0090759545014,1017.8595128949509
1.9500000000000002,1.9598549595135839,28.450305660464284,47838.682728153959,44750.616612038306,28.92089449419451,1535.9661354435768,1017.6967568750229
2.25,2.2611666198808944,28.4242466124336,48945.321634506952,45808.153355517556,29.685953033085887,1536.7152642176175,1018.2796038237957
2.55,2.5623526923530409,28.215682881444692,49140.775183893515,46171.32819038575,29.949746025920124,1536.5337423012122,1018.5459681147095
2.85,2.8634834670113443,28.061801200462195,49109.97059470923,46276.200094656277,30.026048411618437,1536.2754045253676,1018.6539926250637
3.15,3.1645922932962978,27.990879571506397,49076.994111080181,46307.019724833226,30.04844116560384,1536.1451571681585,1018.6948467298286
3.4499999999999997,3.4656919044774228,27.970328315968128,49085.280566199377,46332.807561060945,30.06711133193426,1536.1237644865132,1018.7167332673172
3.75,3.766785389236917,27.9184476449202,49041.197518522538,46336.579870583329,30.069829737362905,1536.0152059303532,1018.7366909523767
4.05,4.0678734091882731,27.8410565964147,48952.711500736237,46320.715986645984,30.058305103362514,1535.8340425768429,1018.754101987583
4.35,4.3689507864050938,27.784286030476206,48969.117473444625,46386.075436514569,30.105722915484129,1535.7610754273755,1018.8091037432405
4.6499999999999995,4.6700073414711438,27.76311863497839,49101.133090737181,46529.786677721546,30.210038143824253,1535.8282573481956,1018.8954177767189
4.9499999999999993,4.971045307410046,27.763708072041482,49176.890745563644,46601.056429183729,30.261744239803811,1535.8891169714327,1018.9353178471995
5.2499999999999991,5.2720687693329413,27.760134022874972,49282.494388098232,46704.29226613701,30.336701954884724,1535.9650817776669,1018.9939947234702
5.55,5.5730673880578463,27.745580666248404,49470.017615233686,46894.9407612544,30.475269238169016,1536.0833105662762,1019.1039129717269
5.85,5.8740400241594806,27.732248867795882,49575.180338366132,47006.5106294397,30.556371376946498,1536.1437604615478,1019.1703261724181
6.1499999999999995,6.1749960718887209,27.722627361700962,49647.240061099255,47083.427501153194,30.612276797430397,1536.1860325771759,1019.2166480084762
6.4499999999999993,6.4759417645028128,27.723275040920132,49692.583833243138,47125.850769584409,30.643080607377346,1536.2250206778704,1019.2408521633407
6.7499999999999991,6.7768786957714076,27.722919464075602,49758.212891086434,47188.4081883883,30.688550215699916,1536.2772037187438,1019.2763838718079
7.0499999999999989,7.0778069125626146,27.723398208608877,49802.669922037989,47230.140330660652,30.718861950260795,1536.3152931481679,1019.3002733407177
7.35,7.37872704931991,27.718426333023977,49852.778328495864,47282.119171742983,30.756642776525236,1536.3489623458684,1019.331510889667
7.6499999999999995,7.6796390493150879,27.716490745545276,49894.18945313475,47323.132427352422,30.786440851420242,1536.3810670865432,1019.3557872703195
7.9499999999999993,7.9805426950174949,27.715736389161105,49953.705078126957,47380.2591975154,30.827984274170831,1536.428218401931,1019.3885021081622
8.25,8.2814404251564167,27.719365119934345,49971.95312500064,47394.30474107241,30.838139057391622,1536.4521664157157,1019.3962567700163
8.5499999999999989,8.5823359805377759,27.724484317189138,49991.79313144878,47408.517863066656,30.848416273482627,1536.4796025810531,1019.4036265423029
8.85,8.8832283686877,27.729278254254421,50024.83442792821,47435.53874065401,30.86802839299779,1536.5161428800309,1019.418106397969
9.1499999999999986,9.18411781800581,27.734067916870121,50041.181640625007,47446.729995787377,30.876104528801285,1536.5405113781083,1019.4239288213386
9.45,9.485005655566134,27.73701095581055,50053.994140624993,47456.2297269429,30.882948253860246,1536.5594176597922,1019.4294167032532
9.75,9.7858919281321857,27.739954471588135,50066.842773437493,47465.762224358106,30.889816066550658,1536.5783495883843,1019.4349223714995
10.049999999999999,10.086777061429562,27.7439111556943,50075.683288422908,47470.582092978395,30.893248817437108,1536.5959428156989,1019.4375255301026
