"Presion","Profundidad","Temperatura","Conductividad","Conductancia","Salinidad","Vel_Sonido","Densidad","Latitud","Longitud","Fecha","Hora","Estacion","Marea","Transecto","No.Estacion"
"36",10.65,10.73320533,27.46295091,42187.81627,40207.24678,25.66814573,1530.461009,1015.611547,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"37",10.95,11.03521061,27.47278887,42398.79488,40400.74465,25.80545412,1530.633374,1015.712616,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"38",11.25,11.33715386,27.4840035,43036.33188,40999.47508,26.23112078,1531.112561,1016.029247,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"39",11.55,11.6390266,27.48382664,43344.94922,41293.6251,26.44056684,1531.337804,1016.187502,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"40",11.85,11.94086224,27.49815334,43543.86281,41471.80428,26.56750518,1531.509533,1016.279419,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"41",12.15,12.24267433,27.50050533,43676.64601,41596.40534,26.65631072,1531.613536,1016.346516,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"42",12.45,12.54447258,27.5018896,43728.2214,41644.42626,26.69050333,1531.657793,1016.373,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"43",12.75,12.84625871,27.50691266,43842.25634,41749.03276,26.76508853,1531.752959,1016.428608,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"44",13.05,13.14803162,27.51065018,43911.47781,41811.97306,26.80995046,1531.81386,1016.462349,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"45",13.35,13.44978797,27.51635647,44070.83203,41959.14853,26.91499096,1531.942664,1016.540564,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"46",13.65,13.75152401,27.5172318,44185.57032,42067.68788,26.99247779,1532.031349,1016.599648,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"47",13.95,14.05324468,27.52044487,44275.72187,42150.93949,27.05191339,1532.10639,1016.644476,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"48",14.25,14.35495532,27.51899605,44316.51138,42190.93539,27.0804399,1532.138172,1016.667605,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"49",14.55,14.65666083,27.52092171,44340.11244,42211.85673,27.09532682,1532.163334,1016.679455,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"50",14.85,14.95836313,27.52293846,44360.59974,42229.73909,27.10804147,1532.186416,1016.689649,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"51",15.15,15.26005987,27.52266666,44412.06234,42278.94847,27.14316479,1532.227849,1016.717352,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
