Codigo,ID,Transecto,No.Estacion,Estacion,Sector,latitud,longitud,Fecha,Hora,Marea,NO2,NO3,PO4,SiO2,pH,OD,Transparencia,SST,TSI_SECCHI,Temperatura_median,Salinidad_median,Oxigeno_median,Densidad_median,Temperatura_IQR,Salinidad_IQR,Oxigeno_IQR,Densidad_IQR,Temperatura_Sup,Salinidad_Sup,Densidad_Sup
G05B,22,Guascama,5,G05,Costero,2.653849,-78.400374,1/05/2021,13:28:00,Baja,0.33,3.98,0.35,71.3,7.96,6.06,0.8,72,63,27.26915,18.87605,4.3413,1010.5609,0.04075,0.849875,0.1191,0.5875,27.4788,19.7624,1011.1397
G06A,23,Guascama,6,G06,Costero,2.621299,-78.400343,1/05/2021,6:42:00,Alta,0.15,1.15,0.42,16.85,8.14,6.62,0.6,53.53,67,27.6937,29.4891,3.818,1018.3702,0.16855,2.8211,0.19375,2.0804,27.6636,27.8153,1017.1047
G06B,24,Guascama,6,G06,Costero,2.621299,-78.400343,1/05/2021,12:54:00,Baja,0.37,4.31,0.62,77.47,7.87,5.87,0.6,77,67,26.9536,15.8747,4.3665,1008.4118,0.04025,1.78705,0.28515,1.33835,26.891,12.9757,1006.2509
S01A,25,Sanquianga,1,S01,Oceanico,2.832936,-78.319656,4/05/2021,9:58:00,Alta,0.05,0.36,0.11,11.4,8.22,7.66,10.5,16.3,26,20.2242,34.5035,3.8959,1024.4711,9.364175,2.629825,1.7826,4.9496,27.2709,26.5318,1016.3019
S01B,26,Sanquianga,1,S01,Oceanico,2.832936,-78.319656,4/05/2021,16:03:00,Baja,0.06,0.19,0.09,6.86,8.22,7.05,8.5,18.12,29,22.4459,34.0429,4.2061,1023.29515,8.01655,2.36985,1.1788,4.3621,26.9163,0.3501,996.9767
S02A,27,Sanquianga,2,S02,Oceanico,2.800405,-78.319592,4/05/2021,9:33:00,Alta,0.07,0.6,0.1,10.95,8.21,7.37,5,19.95,37,22.46595,34.1183,4.2819,1023.5528,8.435975,2.495,1.258075,4.6462,27.4268,25.476,1015.4554
S02B,28,Sanquianga,2,S02,Oceanico,2.800405,-78.319592,4/05/2021,15:40:00,Baja,0.07,0.36,0.06,10.04,8.17,6.93,6,31.3,34,26.38715,32.71595,4.8889,1021.27025,5.716,2.09265,1.0905,3.366525,28.3921,19.4762,1010.6995
S03A,29,Sanquianga,3,S03,Oceanico,2.767854,-78.319562,30/04/2021,7:05:00,Alta,0.11,0.64,0.19,10.77,8.19,7.04,2.5,27.15,47,24.48155,33.13035,4.7817,1021.93465,8.42025,2.319175,2.03745,4.333675,25.6499,7.195,1002.5278
S03B,30,Sanquianga,3,S03,Oceanico,2.767854,-78.319562,30/04/2021,12:40:00,Baja,0.45,1.21,0.36,27.28,8.12,6.29,0.9,35.8,62,25.83265,32.7437,4.855,1021.2046,5.873725,2.270325,0.957675,3.48015,25.7451,1.6371,998.3004
S04A,31,Sanquianga,4,S04,Costero,2.735304,-78.319532,30/04/2021,6:38:00,Alta,0.09,0.87,0.33,12.67,8.16,6.85,2.5,22.6,47,27.9671,32.1819,5.4548,1020.3285,0.1702,0.4451,0.1018,0.3669,26.9841,24.4799,1014.9614
S04B,32,Sanquianga,4,S04,Costero,2.735304,-78.319532,30/04/2021,11:59:00,Baja,0.69,2.17,0.35,42.35,8.1,5.91,0.75,42.1,64,27.842,30.9765,5.2259,1019.4704,0.21705,3.5078,1.0069,2.59165,27.6442,26.1703,1015.8712
S05A,33,Sanquianga,5,S05,Costero,2.702753,-78.319502,29/04/2021,17:09:00,Alta,0.06,0.53,0.14,9.41,8.12,6.7,2.5,77.75,47,27.9738,32.0131,5.414,1020.1724,0.2506,1.5255,0.3123,1.2243,27.7903,8.4429,1002.6861
S05B,34,Sanquianga,5,S05,Costero,2.702753,-78.319502,29/04/2021,11:18:00,Baja,0.84,1.49,0.91,45.98,8.04,5.6,1,87.55,60,27.43675,27.29225,4.22185,1016.8149,0.121925,3.62775,0.27515,2.697375,26.4223,4.3041,1000.0697
S06A,35,Sanquianga,6,S06,Costero,2.670203,-78.319473,29/04/2021,16:23:00,Alta,0.25,2.28,0.25,44.44,8.03,6.12,2.5,160.97,47,28.1894,27.841,4.86785,1017.0021,0.0548,1.22625,0.28555,0.929475,27.64,10.6847,1004.4749
S06B,36,Sanquianga,6,S06,Costero,2.670203,-78.319473,29/04/2021,10:33:00,Baja,0.73,2.46,0.47,44.98,8.02,5.41,1,188.05,60,27.5272,24.7582,4.4372,1014.8983,0.2335,2.9963,0.5261,2.0892,25.4704,0.4015,997.4123
