"PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"G06B",6.69266088565417,-1.64326577966842,-2.79675905667847,-0.240348332016378,-0.111064143757651,-0.350250411329382,0.200146742550235,0.0404519498890991,1.1097204065613,-0.0786090168014827,-0.112237578639335,0.0517577931377746,0.00474089795877004,-0.192577959091936,0.221333525748598,0.181537428620579,-0.142902635371843,0.0181317292992515,-0.00513064789629461,-0.00145935681852105
"S01A",-5.15993164449438,-2.1888614919149,-1.72516124534884,-0.900479323735905,-0.362253446768036,1.23762705625013,0.331360866160138,-0.01055682376644,0.14209820214426,0.151235686876732,-0.028949420809988,0.603829823391406,0.238091088711424,-0.0279945107448957,-0.194939537564465,0.01892643130523,0.087355553937735,-0.00730955471852938,-0.00269523848791658,0.000699193785628882
"S01B",-3.4437146811205,-3.39360403515235,0.361145857226835,1.53150539749128,1.07773411900655,0.440232957591246,0.583818811804429,1.25970451729473,0.476215216410713,-0.352359802180266,-0.407527540107264,0.0322489767990726,0.265416538953326,0.38097214196067,0.0893971948410275,-0.119817796533329,-0.0338527982715051,0.0164335259024942,-0.00385158001860852,0.00044493957893077
"S02A",-3.62629844579404,-1.35135660841304,-0.676885426388498,-0.838824611389306,-0.311281648197803,-0.108567137771246,0.532122894090999,-0.204159907911394,-0.40048753603746,0.145119991861478,-0.228032058558485,0.542138342577106,-0.0911134553635387,-0.286397866263237,0.253945832388408,-0.149480719677379,0.0997821408673715,0.0657147643381545,0.00296932664712739,0.00141118382634087
"S02B",-2.36596222644589,-0.0943039567152253,0.0470800890327148,-0.0407351324744272,1.49223308957805,-0.412941899374513,-0.470297888102224,0.0418561517537619,0.324251228544927,-0.54470200226536,-0.430782914892381,0.358183289055146,-0.312749187938825,-0.225833708481739,-0.027679096910341,-0.107354451438258,-0.0769454037515286,0.0300498164995406,0.00439113600028946,0.000672964597117715
"S03A",-1.96694632518804,-2.55535227529437,0.864924037027537,1.8312051509703,-1.20912279783264,-0.840520127438179,-0.11468757585249,-0.0983558503786236,0.116174134550818,-0.17671884851132,-0.269509214239428,0.0334096134392156,-0.614161279672958,-0.185456016906583,0.0291746032222249,-0.080899764032329,-0.0663253507961435,-0.0196648829861188,0.00206527429942194,-0.00171323933691769
"S03B",0.908339830325914,-2.62454722404761,1.93929956895799,1.2960449477696,-0.870676122457902,-0.913072892466642,0.269654944484433,0.763433867890789,0.0946518095034247,0.281192078660708,-0.0707411593593605,0.230818588228714,-0.403955458121118,0.0809612977324038,-0.438919485363887,0.136485897803141,-0.0377189698605018,-0.0266977861728715,0.0150987703925149,0.0036681341613729
"S04A",0.238590700287289,2.64445988331752,0.688944671831565,1.06542389396832,0.318227873008054,-0.217912451997161,0.869040298331999,-0.104034254643768,0.737498622627901,0.6673635441245,0.452322392352441,0.399920465324982,-0.353796030744837,-0.00355483976619283,-0.0367770075434542,-0.149184321010571,0.0764024740729375,-0.0374443795775251,0.00762048496361396,-0.000947751767989224
"S04B",2.04466335145961,0.195285167671482,1.20617652454331,-2.1094689996833,-0.885017097281816,-0.879434842482771,-1.463414907911,-0.448121929158904,0.223299016171546,0.10959824293707,-0.395870538013691,0.57432666346991,0.515562033840851,0.342243602182167,-0.478437875991476,-0.0914569023649794,0.039877213673642,0.0456011174404325,-0.00222393695717343,0.00137933517246269
"S05A",0.398447192787224,0.538732745113633,1.54199765461321,1.80656083292343,2.21720489802105,-0.679338906518007,-0.0120452238488641,-0.463785871894687,0.131230483666338,-0.149893632042725,-0.0346182111524141,0.203411542101997,0.386375392931908,-0.160801026414537,0.0853747053824853,0.150722214484748,-0.0963755781451249,0.0326555978459001,-0.0120606749569572,0.00582018668189699
"S05B",4.4901750770344,-3.21718344939174,2.10068495658234,-1.16920638282832,-0.492706532261094,1.36193045336663,0.200582105641751,0.35609397032401,1.27776729900906,-0.402076853144357,1.14132159304223,-0.283583274871534,0.0495573974683463,-0.304769402473457,0.0113729330672862,-0.071778359808132,0.125645927996004,0.0108747748381286,-0.00263608824540479,-0.00156655119116467
"S06A",3.17020833968397,-0.514425992636868,-0.23154418762304,1.13387476449382,2.55926325712947,0.458587800363733,-0.829884845694244,-0.974171374584609,-0.807408510946098,0.59085408036607,0.400354495135865,0.112992058031718,-0.0528996312667107,-0.0695694421591901,-0.140374957605899,-0.281026849204493,0.111494689156658,-0.00355237265932332,-0.00510596098599445,-0.00414721489103365
"S06B",5.21283464652895,-3.45012702221645,1.2851920658516,0.99640505865774,0.52116754389046,1.69335367034659,-1.07577847947872,-0.981582107136242,-0.886487245370149,0.295038752256182,-0.235499780348314,-0.252644655575943,-0.0327084027023557,0.00111058922792157,0.161314070597615,0.155287974514079,-0.0526386725335269,-0.010825655392627,0.0109031386221092,0.00209222148515775
