"PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27"
"A01A",-4.98673480066549,-0.588445202833717,-0.0483010140200112,-1.94990337349186,0.879455381307165,-1.58764442406342,-0.71230838154645,-0.344524321052994,-0.492675370327502,-0.160371869579644,0.000471039129616796,-0.0295193421351698,-0.42865640678524,-0.377753806919854,-0.4484166630087,0.0407596106473189,0.0633804451752899,0.0319205223493811,-0.00827677831310204,-0.00218131000285068,-0.0204486822361021,-0.00823170896100825,-0.000779933031609559,0.0035391676942014,0.00109547787500608,-0.000266969897221109,7.80962787396977e-05
"A01B",-3.10628739105783,-1.09970742179261,-1.01857779362645,0.437476519260681,1.0002053447393,1.73443477296824,-0.256884152029587,0.238443171596579,-0.102330782049174,-0.013992041500128,0.507353244679725,-0.0683147994021578,0.0524716567589691,-0.161220741314638,-0.0197186921779906,-0.0141006246725129,-0.124423224971053,-0.0422050031679537,-0.225703625985169,0.0478157048285073,0.0486121807250311,0.00495358991742367,0.0138695400705402,0.00728608044418237,0.00036992118928536,-0.00244759685360704,7.29698122895095e-05
"A02A",-3.92670675358064,-0.138286723320669,0.29644972314668,-1.01923993343036,0.362584394361185,-0.701082937855996,-0.70581313302813,0.293879958929523,-0.0638598264605354,-0.0193213862863445,-0.208671065806953,-0.35500164273796,-0.415548032564494,-0.0552266805528161,0.117542866273013,-0.0662814913867823,-0.0419040593876597,0.0469849242772177,-0.119325782586462,0.0177820884610009,-0.0323720590461785,0.0290193158731127,-0.0152541595320946,0.0011341414368063,0.000721545292213466,-0.00107527582495394,-0.000149960631427231
"A02B",-2.53519696048266,0.176458287027338,-1.36186654920962,0.710155126461974,2.87236905877296,2.95620754095699,-0.487512132588787,-1.07514378174172,-0.218199253061086,-0.175713669717465,0.172493513129536,-0.157769375359303,-0.0145444033760877,0.165426120965801,-0.105290770557217,0.118441093955744,0.0488101142052981,0.0104119409534538,0.150006993915363,-0.067341013988201,-0.00944455987736042,0.000347488075170169,-0.0103330341493746,-0.00272546064790208,-0.000209389661714354,0.000793383957878424,-3.44452748190487e-05
"A03A",-1.6555813269164,0.822763393134505,1.11202404710612,0.645185911843203,-0.84909757899783,0.436204659398805,-0.944737627939534,0.0673624514423369,-1.55694024181853,0.675345731474029,-0.391209111973736,0.0749142870903037,0.180342760076393,-0.181411990902288,0.152368981272189,-0.0617787683014933,0.0163390801313312,0.094252037135915,-0.0508686007459506,-0.0729666757316361,0.0153021088994609,0.00228672175843343,0.0231800041159985,-0.0082549939533752,0.000414992922371182,0.000260494735720089,1.70223211241149e-05
"A03B",-0.0645825459555454,1.20754261592714,-0.727420207057295,0.719894727235051,-0.461307413092847,0.0255521174256537,-0.61014161323306,0.519901233063336,0.0156488485450273,-0.0284415654133211,-0.491352351707727,0.00719286855584722,-0.0654400122786494,0.159211950474857,-0.0197589463626549,0.478675712120568,-0.252165752370229,0.231194582945142,-0.200452126710707,0.0142003415320011,-0.0220417799404808,-0.0121542910694605,-0.0181194495985081,0.00444701206605626,-0.00298859035808408,0.00133007029741172,4.98177093355461e-05
"A04A",-1.66044676206833,3.39187301171897,1.84305310888236,-0.890612425082791,0.576232920951403,-0.331850064593147,-0.473891725140656,-0.164233678286027,-0.430630247684324,-0.249581435268209,0.0960813473607147,0.26581314315435,0.186314492417387,-0.115927193508134,0.141427633665119,-0.118096738408508,0.13947158930135,0.0103131989430901,-0.0770943298288081,-0.00757755491713261,0.0160294772007338,-0.0211964180701909,0.00391889571538885,0.000650654407045009,0.00278929615100651,0.00108363872114881,-0.00010544998519708
"A04B",1.07864205129057,2.55104980407316,-0.250608537558893,0.304915511958046,-0.34930398561747,-0.0226148463465741,-0.355311805429726,0.0798568597211405,0.149410616583776,-0.594937589077974,-0.309506874976136,0.310570207715389,-0.127440958541669,-0.0987517113788664,0.10519185303883,0.191371501398558,-0.245848262545238,-0.0395955124741983,0.181082044515234,0.00785137620016793,0.0297682758476115,-0.0193943898131071,0.00462381304945612,0.00503566566910636,0.00217394577599628,-0.000626862472078153,-3.43497066399537e-05
"A05A",0.938049738226683,2.07024067026775,1.38944442635652,0.742206575929834,-0.370850343913407,-0.00962839324076191,-0.63303958516217,0.180345199941828,-0.214251115590742,0.0322574574194759,-0.661531438667897,-0.186621814789959,0.5899063209126,-0.15216196772027,-0.14667018593457,-0.165863731403854,-0.00187248030481596,-0.044394929849978,0.205603235592702,0.0283306327397158,0.0315991359105542,-0.0189806783819332,-0.0217871115966775,0.00705690220290382,-0.0053727435191398,-0.00161404037372215,1.06988219438441e-05
"A05B",2.26817643821889,2.27864600735614,-1.50831951343482,0.256543004218545,-0.404319596909167,-0.0296067344637387,-0.658228620320266,0.350928196762684,0.232840679205157,-0.248985635001597,0.216133387002077,0.0809859046259368,-0.244699082238711,-0.262082811871873,0.151347449734934,0.0942759359849326,0.00361827412286884,0.0203412839050042,0.220335655269566,0.0365885737947763,-0.0247603369559606,0.0161462384264923,0.0124333521725191,5.43160969619927e-05,0.00440546878398712,0.00111598863835005,0.000109859851255598
"A06A",2.85893962583405,2.63608631694306,-2.72997613048951,-0.892174092477426,-0.737169730263862,0.250648248250177,-0.454982419418225,0.199544661266309,0.261342846177214,0.263878394356718,0.555932757447537,0.0147945714952201,-0.111888803913195,0.329122332691223,0.14408229186047,-0.286678668721556,0.155885015097413,0.0319999459839314,-0.0359270889734749,0.0698694346580861,-0.0407433575230708,-0.0508443928935722,4.41332780067583e-05,-0.000997818867542022,-0.00321139078962562,-0.000838881026807584,6.84979868568053e-05
"A06B",3.74439040949673,2.49112750787105,-2.76192885495594,-1.67981577000932,-0.139621088278035,0.78952104172006,-0.546927903757158,0.86254346198752,0.422844948750633,0.698267564237519,-0.189689510982569,-0.289906054184126,0.181967333861006,-0.102642555268125,-0.00956227863360146,0.015305717088729,0.00142084867971773,-0.0420973283701616,-0.0226959857461083,0.019684009519895,0.00598355722054022,0.0380360927239512,-0.00314211465488895,-0.00486027184194848,0.00361876448653919,-0.000253820443793767,-0.000108791379112855
"G01A",-5.22409639431086,-0.762772618343561,0.187709059677805,-1.18227198141725,-0.370022142719459,-0.312392869498939,0.361451544182591,0.130465339802027,-0.0670972853613932,0.182687110577759,0.475522354578817,0.480983744822851,0.800549879790244,0.404731075090522,-0.372327673828081,0.0630638063509317,0.00292064921078167,0.190929090857978,0.0568492591164435,0.068747064466932,-0.0168193717525023,0.0117600228564527,0.0119063691861948,0.001241770218746,0.00317655678528228,-0.00010136461814457,-2.13475157710358e-05
"G01B",-3.23224207109193,-3.10446765427879,-0.972543769003856,0.00823057001807645,-1.01646711975314,0.657929687415181,0.730176321415604,0.432462772304011,0.0824440217319467,0.41583383958756,0.255755693166515,0.778666219824557,0.0773352816474914,-0.546580753927082,0.20381739355084,0.210843134767456,-0.0518903528270249,-0.0987247344220034,0.00347177401736345,-0.0118544797573005,0.00128440974432851,-0.00939618218778204,-0.0133653789712153,-0.0119370076396524,-0.00298730460896757,-0.000144404799614667,2.43099840284717e-05
"G02A",-3.97636101453121,-0.909339937560369,0.318384371813757,0.0501046743814904,-0.869960287630783,-0.0633357226396564,0.432449772432969,0.292749848305655,-0.334462356667024,0.135141915755186,0.45452260956683,-0.205520414427724,0.225616816331198,0.277572644576811,0.0441899042156159,0.039317375989352,-0.155377244202522,-0.061448048855183,0.0926792284576705,-0.131118404904706,-0.0768498934391478,0.00510858829810354,-0.00905704420658546,0.0030804018033149,-0.00347159680638975,-0.000337155366858688,-2.38818013785216e-05
"G02B",-1.74586569178848,-2.51168305410443,-0.861325000321216,1.08555956413871,-1.00580722063699,0.779658977741274,0.658591337382296,0.422904806580711,-0.606357511790307,-0.410295471916807,0.193259713699193,-0.0620691444956019,-0.152466315514617,-0.153789364098846,-0.0702580644041789,-0.201258289886624,0.187434661337319,0.0666081496793598,0.0470984602245135,0.133507079801979,0.024836434242331,0.00539975674067053,-0.0150756897077188,0.00934234759291358,0.00212158804542262,0.00186208861370478,4.60123625517376e-06
