Codigo,BioVol_500,PeH_500,PeS_500,PeAFW_500,BioVol_300,PeH_300,PeS_300,PeAFW_300,Act.sp,Act.sen,Ale.sp,Ast.fla,Ast.sp,Aul.kit,Aul.arch,Bac.pax,Bac.del,Bac.fur,Bac.hya,Cer.bic,Cer.den,Cer.pel,Cer.horr,Cha.lac,Cha.aff,Cha.bre,Cha.com,Cha.cur,Cha.dan,Cha.deb,Cha.den,Cha.div,Cha.lor,Cha.par,Cha.per,Cha.pro,Cha.pse,Cha.rad,Cha.sp,Cha.coa,Cha.sub,Cli.fra,Cos.jon,Cos.sp,Cos.ast,Cos.cen,Cos.gig,Cos.gra,Cos.mar,Cos.per,Cos.rad,Cos.sp1,Cos.sp2,Cos.sp3,Cos.wai,Cyc.str,Din.cau,Dip.gru,Dit.bri,Ento.sp,Euc.zod,Gon.sp,Gon.pol,Gui.del,Gui.fla,Gui.str,Gyr.spi,Gyr.spi,Hem.mem,Hem.sin,Hob.lon,Lep.dan,Lio.elo,Lio.pac,Lit.und,Lyr.sp,Mel.sp,Meu.mem,Nav.sp,Neo.rob,Neo.pela,Nit.sp,Nit.clos,Nit.sform,Nit.smoi,Odo.aur,Odo.sp,Orn.thu,Orn.sp,Orn.ste,Pha.sp,Pha.mit,Pha.sp1,Pha.sp2,Pha.rap,Pla.sp,Plan.mur,Pod.bip,Pro.ala,Pro.cor,Pro.lim,Pro.mex,Pro.rha,Pro.sp,Pro.com,Pro.sp1,Pro.sp2,Pro.sp3,Pro.sp4,Pro.sp5,Pro.pyf,Pro.pyrum,Pro.sp6,Pro.sp7,Pro.sp8,Pro.sp9,Pse.sp,Pse.cal,Py.sp,Py.bah,Pyrph.sp,Rhi.ber,Rhi.hab,Rhi.imb,Rhi.set,Scri.sp,Ske.tro,Ske.cos,Ske.pse,Ste.sp,Ste.tu,Stre.tam,Surr.sp,Syn.sp,Thal.nips,Thal.sp,Thal.fra,Thalasi.sp,Trie.chi,Trie.mob,Trip.kar,Trip.ari,Trip.bre,Trip.vul,Trip.dec,Trip.fus,Trip.mac,Trip.mas,Trip.mue,Trip.pen,Tripo.sp,Trip.ter,Trip.can,Trip.eug,Trip.ext,Trip.lun,Trip.tri
A06A,372.60,17.56,4.44,4.12,188.76,100.28,6.39,4.59,0,125,0,0,0,0,0,0,50,0,0,0,0,0,0,0,475,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,0,75,0,0,350,0,125,0,0,0,0,175,0,0,0,75,0,0,0,0,0,75,0,25,100,0,0,25,0,0,0,600,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,125,0,0,25,0,0,6200,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800,0,0,0,175,0,0,200,25,875,50,800,325,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
A06B,75.91,28.98,2.25,1.43,1344.11,1024.34,58.79,27.61,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,0,75,0,225,0,100,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,75,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,50,0,0,0,0,75,150,25,225,75,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
G01A,529.38,291.48,21.99,14.33,998.44,922.98,58.93,51.70,0,0,0,0,0,0,0,0,75,25,100,25,0,0,0,50,50,200,0,0,75,0,0,125,225,150,0,100,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,225,0,25,0,0,0,25,0,0,0,0,0,75,0,0,75,0,0,25,0,25,75,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,50,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0
G01B,126.66,53.93,6.02,5.21,802.90,929.86,70.35,65.27,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,125,0,0,25,75,0,275,0,0,25,0,0,0,250,0,0,0,150,0,25,0,25,75,25,50,25,0,25,175,0,0,0,25,25,0,0,0,0,0,200,0,0,0,0,0,275,0,25,0,50,0,0,50,25,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,300,6050,0,0,0,0,0,25,100,0,0,0,275,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G02A,273.28,274.54,29.42,16.14,614.82,440.35,29.99,24.13,0,0,0,0,0,0,0,0,175,0,175,0,25,25,50,0,200,0,0,50,75,0,0,50,0,0,0,0,0,0,0,0,0,0,25,0,0,0,275,300,0,150,25,100,275,0,0,0,0,0,25,0,0,0,0,0,25,0,0,50,50,0,25,0,100,0,225,0,0,0,50,0,0,25,0,0,0,250,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,900,0,0,0,0,0,0,225,0,0,0,50,375,0,0,0,0,0,25,0,25,25,0,0,0,25,0,0,0,0
G02B,99.05,7.16,2.28,2.11,966.39,851.30,67.95,58.65,0,25,0,0,0,0,25,0,0,25,0,0,0,0,0,0,575,100,0,0,0,0,0,0,75,75,0,0,0,0,150,0,0,0,425,0,0,0,100,175,0,250,0,200,400,100,0,0,0,0,100,0,25,0,0,0,150,0,0,0,0,0,50,0,0,25,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3875,0,0,0,0,0,0,200,0,0,0,250,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G03A,620.18,183.96,14.92,10.03,784.22,611.71,33.25,28.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,0,450,0,350,0,75,0,0,0,0,225,0,0,0,0,0,0,0,0,50,0,0,0,0,100,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9250,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G03B,67.62,12.51,2.23,1.57,215.36,238.30,19.90,17.82,0,0,0,0,0,0,0,0,175,25,0,0,0,150,0,0,575,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,250,0,0,0,275,800,0,0,100,0,175,0,175,0,0,0,100,0,0,0,0,125,75,0,0,175,0,0,50,0,0,25,125,0,0,0,0,25,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,50,3300,0,0,0,0,0,0,325,0,0,0,550,450,0,0,0,0,0,25,0,25,50,0,0,0,0,0,0,0,0
G04A,532.28,490.10,37.22,32.19,297.52,122.34,13.89,9.91,0,0,0,0,0,0,0,0,0,0,100,0,0,25,0,0,575,0,0,0,225,0,0,650,500,150,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,50,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,100,0,0,0,25,0,0,100,0,0,0,800,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G04B,59.32,5.55,1.94,1.56,279.16,160.35,16.53,12.30,0,0,0,0,0,0,0,0,0,0,0,50,0,0,25,0,50,0,0,50,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,50,0,0,0,0,50,0,0,0,50,0,125,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,0,0,0,0,0,0,0,50,100,0,175,0,0,0,50,0,0,0,0,0,75,0,0,0,0,0,0,75,0
