Codigo,ID,Transecto,No.Estacion,Estacion,latitud,longitud,Fecha,Hora,Marea,NO2,NO3,PO4,SiO2,Clorofila,Conductividad,Salinidad,pH,OD,Transparencia,SST,TSI_Clor,TSI_SECCHI,Sector,Temperatura_mean,Salinidad_mean,Oxigeno_mean,Densidad_mean,Profundidad_mean,Temperatura_median,Salinidad_median,Oxigeno_median,Densidad_median,Profundidad_median,Temperatura_n,Salinidad_n,Oxigeno_n,Densidad_n,Profundidad_n,Temperatura_sd,Salinidad_sd,Oxigeno_sd,Densidad_sd,Profundidad_sd,Temperatura_min,Salinidad_min,Oxigeno_min,Densidad_min,Profundidad_min,Temperatura_max,Salinidad_max,Oxigeno_max,Densidad_max,Profundidad_max,BioVol500,PesoHum500,PesoSec500,PesoSCen500,BioVol300,PesoHum300,PesoSec300,PesoSCen300
A06A,11,Amarales,6,A06,2.686569,-78.222378,03/05/2021,8:20:00,Alta,0.77,1.17,0.38,25.2,4.6,43.2,27.4,8.14,6.33,1.8,37.75,46,52,Costero,27.616708695652175,28.679908695652173,4.697177272727273,1017.8061173913044,6.5,27.7111,29.2132,4.8611,1018.1968,6.5,23,23,23,23,23,0.2150276365177347,0.8990585166075594,0.3048062709200842,0.6542340140487508,3.391164991562634,26.8459,27.287,4.0689,1016.7737,1,27.7757,29.4662,4.9995,1018.3592,12,372.6019,17.5631,4.4374,4.1156,188.7638,100.2808,6.3897,4.587
A06B,12,Amarales,6,A06,2.686569,-78.222378,03/05/2021,14:19:00,Baja,0.92,1,0.2,28.01,4.73,40.4,25.8,8.16,6.16,2,49.9,46,50,Costero,27.71968,25.78039,4.8627142857142855,1015.58935,3.25,27.7634,25.6498,4.6622,1015.4716000000001,3.25,10,10,10,10,10,0.23380813976896112,0.4712614972367025,0.5241376963755848,0.32087388748022316,1.5138251770487459,27.1291,25.1681,4.4,1015.3519,1,28.0521,26.7234,5.9775,1016.2686,5.5,75.9088,28.9845,2.252,1.4296,1344.1056,1024.3429,58.7912,27.6079
G01A,13,Guascama,1,G01,2.784031,-78.400528,02/05/2021,8:28:00,Alta,0.05,0.27,0.06,5.41,0.79,48.9,31.8,8.21,8.06,7,20.6,28,32,Oceanico,22.990512560386474,33.780773429951694,4.642200483091788,1023.188890821256,52.5,22.8021,34.3582,4.6286,1023.716,52.5,207,207,207,207,207,3.1368716665283993,1.3325629046225331,0.6142883260522191,1.973619357602107,29.949958263743873,18.6777,26.6972,3.699,1016.352,1,27.9617,34.8283,5.958,1025.4253,104,529.3824,291.4779,21.987,14.3286,998.441,922.9847,58.9265,51.6971
G01B,14,Guascama,1,G01,2.784031,-78.400528,02/05/2021,14:43:00,Baja,0.11,1,0.13,24.02,1.57,42.6,27.2,8.24,7.6,2.5,27.85,35,47,Oceanico,22.40481298076923,33.43946442307692,4.344801470588235,1023.0598927884615,52.75,21.58365,34.409549999999996,4.2227999999999994,1023.7574500000001,52.75,208,208,208,208,208,4.332502311806811,2.3999970363072793,0.992723823181013,2.902184525224086,30.094296248071107,16.7434,11.8956,2.7393,1005.5034,1,27.9914,35.1955,5.7265,1026.0758,104.5,126.6626,53.9266,6.0165,5.209,802.9044,929.8637,70.3545,65.2694
G02A,15,Guascama,2,G02,2.7514980000000002,-78.400469,02/05/2021,8:01:00,Alta,0.09,1.03,0.13,14.58,0.74,48.7,31.6,8.22,7.63,3.5,21.85,28,42,Oceanico,24.57066582278481,25.375969620253166,6.816074050632912,1016.3684265822785,40.25,24.8735,25.17615,5.340199999999999,1016.09865,40.25,158,158,158,158,158,1.1138945689781419,1.93694541231326,3.2575704231537985,1.7186575278440426,22.877390585466692,18.5766,21.6159,3.0846,1013.6721,1,25.0046,34.3434,14.1077,1024.833,79.5,273.2789,274.5359,29.4185,16.1371,614.822,440.3509,29.9879,24.1318
G02B,16,Guascama,2,G02,2.7514980000000002,-78.400469,02/05/2021,14:20:00,Baja,0.28,2,0.23,33.27,1.47,42.3,27,8.18,7.25,1.2,34.9,34,57,Oceanico,23.929603896103895,32.939144155844154,4.513569934640523,1022.1613045454545,39.25,24.1155,32.7802,4.4226,1021.53855,39.25,154,154,154,154,154,4.033293049626785,2.3449629311279776,0.9397534902894376,2.784366183573487,22.30003736917646,17.7418,16.3038,2.8656,1008.5972,1,28.1403,34.9796,5.6552,1025.5933,77.5,99.0517,7.1647,2.2782,2.1131,966.3853,851.296,67.9512,58.6453
G03A,17,Guascama,3,G03,2.718948,-78.400437,02/05/2021,7:38:00,Alta,0.13,1.54,0.2,12.58,0.69,48.8,31.6,8.24,7.29,6,27.2,27,34,Oceanico,24.862112068965516,33.176337068965516,4.957120869565218,1022.0770586206896,29.75,24.3478,33.615449999999996,5.0898,1022.4959,29.75,116,116,116,116,116,2.93026480189835,1.3810948387628637,0.5879405654553945,1.9281868242095939,16.815171720800237,20.0313,29.4392,3.6433,1018.3837,1,28.0467,34.8173,5.9422,1024.7292,58.5,620.1773,183.9555,14.9207,10.0323,784.2161,611.7072,33.2545,28.3438
G03B,18,Guascama,3,G03,2.718948,-78.400437,02/05/2021,13:46:00,Baja,0.23,2.15,0.34,32.55,0.94,42.6,27.2,8.16,6.84,1,37.1,30,60,Oceanico,25.649948245614034,32.699387719298244,4.885549549549549,1021.4622605263157,29.25,26.971449999999997,32.2562,5.0543,1020.55345,29.25,114,114,114,114,114,2.3956654152840384,2.052597799342469,0.5439271348049001,2.1658206934590982,16.52649388103841,21.4459,23.9402,3.6623,1014.189,1,28.0223,35.2585,5.6441,1024.8019,57.5,67.6249,12.5106,2.2316,1.5723,215.3624,238.2985,19.9031,17.8212
G04A,19,Guascama,4,G04,2.686398,-78.400405,01/05/2021,7:33:00,Alta,0.05,0.36,0.13,3.51,0.32,48.7,31.6,8.18,7.19,1.8,24.1,20,52,Costero,27.764346153846155,30.07826153846154,5.053484615384615,1018.8178076923077,4,27.9336,31.5692,5.0093,1019.8788,4,13,13,13,13,13,0.38389449856131236,3.869187564278075,0.1815704768868637,2.7369622489972167,1.9472202409246537,26.6895,18.8356,4.7962,1010.8592,1,28.0072,31.9827,5.3371,1020.1528,7,532.2777,490.1017,37.2174,32.1888,297.5179,122.3394,13.8941,9.9073
G04B,20,Guascama,4,G04,2.686398,-78.400405,01/05/2021,13:55:00,Baja,0.32,4.09,0.32,78.47,1.34,30.2,18.5,7.95,6.48,0.8,50.38,33,63,Costero,27.37267142857143,18.19117142857143,4.563416666666667,1010.0129428571429,2.5,27.4119,18.2258,4.5951,1010.0366,2.5,7,7,7,7,7,0.09472709422837962,0.3505899490586585,0.059470611789914,0.24598704476147146,1.0801234497346435,27.1688,17.7717,4.4523,1009.7801,1,27.4304,18.7465,4.601,1010.4144,4,59.3173,5.5462,1.9426,1.5571,279.1604,160.3466,16.5325,12.2986
