"combinada","altura","fecha","hora","fecha_Hora"
"71","29/04/2021 11:40",0.165,"2021-04-29","11:40:00",2021-04-29 11:40:00
"72","29/04/2021 11:50",0.208,"2021-04-29","11:50:00",2021-04-29 11:50:00
"73","29/04/2021 12:00",0.262,"2021-04-29","12:00:00",2021-04-29 12:00:00
"74","29/04/2021 12:10",0.328,"2021-04-29","12:10:00",2021-04-29 12:10:00
"75","29/04/2021 12:20",0.406,"2021-04-29","12:20:00",2021-04-29 12:20:00
"76","29/04/2021 12:30",0.494,"2021-04-29","12:30:00",2021-04-29 12:30:00
"77","29/04/2021 12:40",0.593,"2021-04-29","12:40:00",2021-04-29 12:40:00
"78","29/04/2021 12:50",0.701,"2021-04-29","12:50:00",2021-04-29 12:50:00
"79","29/04/2021 13:00",0.818,"2021-04-29","13:00:00",2021-04-29 13:00:00
"80","29/04/2021 13:10",0.943,"2021-04-29","13:10:00",2021-04-29 13:10:00
"81","29/04/2021 13:20",1.075,"2021-04-29","13:20:00",2021-04-29 13:20:00
"82","29/04/2021 13:30",1.213,"2021-04-29","13:30:00",2021-04-29 13:30:00
"83","29/04/2021 13:40",1.357,"2021-04-29","13:40:00",2021-04-29 13:40:00
"84","29/04/2021 13:50",1.505,"2021-04-29","13:50:00",2021-04-29 13:50:00
"85","29/04/2021 14:00",1.657,"2021-04-29","14:00:00",2021-04-29 14:00:00
"86","29/04/2021 14:10",1.811,"2021-04-29","14:10:00",2021-04-29 14:10:00
"87","29/04/2021 14:20",1.966,"2021-04-29","14:20:00",2021-04-29 14:20:00
"88","29/04/2021 14:30",2.122,"2021-04-29","14:30:00",2021-04-29 14:30:00
"89","29/04/2021 14:40",2.276,"2021-04-29","14:40:00",2021-04-29 14:40:00
"90","29/04/2021 14:50",2.429,"2021-04-29","14:50:00",2021-04-29 14:50:00
"91","29/04/2021 15:00",2.578,"2021-04-29","15:00:00",2021-04-29 15:00:00
"92","29/04/2021 15:10",2.723,"2021-04-29","15:10:00",2021-04-29 15:10:00
"93","29/04/2021 15:20",2.863,"2021-04-29","15:20:00",2021-04-29 15:20:00
"94","29/04/2021 15:30",2.997,"2021-04-29","15:30:00",2021-04-29 15:30:00
"95","29/04/2021 15:40",3.123,"2021-04-29","15:40:00",2021-04-29 15:40:00
"96","29/04/2021 15:50",3.241,"2021-04-29","15:50:00",2021-04-29 15:50:00
"97","29/04/2021 16:00",3.351,"2021-04-29","16:00:00",2021-04-29 16:00:00
"98","29/04/2021 16:10",3.45,"2021-04-29","16:10:00",2021-04-29 16:10:00
"99","29/04/2021 16:20",3.539,"2021-04-29","16:20:00",2021-04-29 16:20:00
"100","29/04/2021 16:30",3.616,"2021-04-29","16:30:00",2021-04-29 16:30:00
"101","29/04/2021 16:40",3.682,"2021-04-29","16:40:00",2021-04-29 16:40:00
"102","29/04/2021 16:50",3.736,"2021-04-29","16:50:00",2021-04-29 16:50:00
"103","29/04/2021 17:00",3.777,"2021-04-29","17:00:00",2021-04-29 17:00:00
"104","29/04/2021 17:10",3.804,"2021-04-29","17:10:00",2021-04-29 17:10:00
"105","29/04/2021 17:20",3.819,"2021-04-29","17:20:00",2021-04-29 17:20:00
"106","29/04/2021 17:30",3.82,"2021-04-29","17:30:00",2021-04-29 17:30:00
"107","29/04/2021 17:40",3.808,"2021-04-29","17:40:00",2021-04-29 17:40:00
"108","29/04/2021 17:50",3.783,"2021-04-29","17:50:00",2021-04-29 17:50:00
"109","29/04/2021 18:00",3.744,"2021-04-29","18:00:00",2021-04-29 18:00:00
"110","29/04/2021 18:10",3.692,"2021-04-29","18:10:00",2021-04-29 18:10:00
"111","29/04/2021 18:20",3.627,"2021-04-29","18:20:00",2021-04-29 18:20:00
"112","29/04/2021 18:30",3.549,"2021-04-29","18:30:00",2021-04-29 18:30:00
"113","29/04/2021 18:40",3.46,"2021-04-29","18:40:00",2021-04-29 18:40:00
"114","29/04/2021 18:50",3.359,"2021-04-29","18:50:00",2021-04-29 18:50:00
"115","29/04/2021 19:00",3.247,"2021-04-29","19:00:00",2021-04-29 19:00:00
"116","29/04/2021 19:10",3.126,"2021-04-29","19:10:00",2021-04-29 19:10:00
"117","29/04/2021 19:20",2.995,"2021-04-29","19:20:00",2021-04-29 19:20:00
"118","29/04/2021 19:30",2.856,"2021-04-29","19:30:00",2021-04-29 19:30:00
"119","29/04/2021 19:40",2.71,"2021-04-29","19:40:00",2021-04-29 19:40:00
"120","29/04/2021 19:50",2.557,"2021-04-29","19:50:00",2021-04-29 19:50:00
"121","29/04/2021 20:00",2.4,"2021-04-29","20:00:00",2021-04-29 20:00:00
"122","29/04/2021 20:10",2.239,"2021-04-29","20:10:00",2021-04-29 20:10:00
"123","29/04/2021 20:20",2.075,"2021-04-29","20:20:00",2021-04-29 20:20:00
"124","29/04/2021 20:30",1.91,"2021-04-29","20:30:00",2021-04-29 20:30:00
"125","29/04/2021 20:40",1.744,"2021-04-29","20:40:00",2021-04-29 20:40:00
"126","29/04/2021 20:50",1.58,"2021-04-29","20:50:00",2021-04-29 20:50:00
"127","29/04/2021 21:00",1.418,"2021-04-29","21:00:00",2021-04-29 21:00:00
"128","29/04/2021 21:10",1.259,"2021-04-29","21:10:00",2021-04-29 21:10:00
"129","29/04/2021 21:20",1.105,"2021-04-29","21:20:00",2021-04-29 21:20:00
"130","29/04/2021 21:30",0.957,"2021-04-29","21:30:00",2021-04-29 21:30:00
"131","29/04/2021 21:40",0.815,"2021-04-29","21:40:00",2021-04-29 21:40:00
"132","29/04/2021 21:50",0.68,"2021-04-29","21:50:00",2021-04-29 21:50:00
"133","29/04/2021 22:00",0.554,"2021-04-29","22:00:00",2021-04-29 22:00:00
"134","29/04/2021 22:10",0.438,"2021-04-29","22:10:00",2021-04-29 22:10:00
"135","29/04/2021 22:20",0.331,"2021-04-29","22:20:00",2021-04-29 22:20:00
"136","29/04/2021 22:30",0.234,"2021-04-29","22:30:00",2021-04-29 22:30:00
"137","29/04/2021 22:40",0.149,"2021-04-29","22:40:00",2021-04-29 22:40:00
"138","29/04/2021 22:50",0.076,"2021-04-29","22:50:00",2021-04-29 22:50:00
"139","29/04/2021 23:00",0.015,"2021-04-29","23:00:00",2021-04-29 23:00:00
"140","29/04/2021 23:10",-0.034,"2021-04-29","23:10:00",2021-04-29 23:10:00
"141","29/04/2021 23:20",-0.07,"2021-04-29","23:20:00",2021-04-29 23:20:00
"142","29/04/2021 23:30",-0.093,"2021-04-29","23:30:00",2021-04-29 23:30:00
"143","29/04/2021 23:40",-0.103,"2021-04-29","23:40:00",2021-04-29 23:40:00
"144","29/04/2021 23:50",-0.099,"2021-04-29","23:50:00",2021-04-29 23:50:00
"145","30/04/2021 0:00",-0.083,"2021-04-30","0:00:00",2021-04-30 00:00:00
