"PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28"
"A01A",-5.08733365729113,0.467855627824273,-0.00849854895546422,-1.86221842641577,1.04662594619681,-1.59999134551541,-0.710886642158109,-0.348874803245638,-0.491307343963172,-0.16172360386606,0.00410153392795277,0.121865166902019,0.434598894144067,-0.290746533865611,-0.495896703132154,0.023648869498148,-0.0631004279143089,0.0310728179526495,-0.0110437878708226,0.00217931145094197,0.0204109453584663,0.00829015544775065,0.000772175123615999,-0.00354468622334075,-0.00109535437427628,0.000215038451178262,-0.000158394484108593,-7.81069894953113e-05
"A01B",-3.24495817748149,1.08747085092806,-0.956559916103159,0.497215574026162,0.961931022943236,1.75566947914921,-0.285524165573359,0.239234855732322,-0.101748903661759,-0.0144844846869054,0.508601529864422,0.0655973968112198,-0.0518960238803689,-0.155897021258392,-0.0353785927549484,0.00325817923816651,0.123841896485507,-0.0630855573496046,-0.222982413655734,-0.0479742148769528,-0.0486299412039067,-0.00497141517565072,-0.01390970355621,-0.00732673324928056,-0.000372263950206972,0.00256673750599118,-0.000729028438553825,-7.01204677370066e-05
"A02A",-3.93589798459207,-0.0304472666239076,0.345390834354514,-0.956471432603744,0.478348656830479,-0.730189005281661,-0.748402468652392,0.29691088467497,-0.0604901901403407,-0.0213075511364887,-0.199491932250656,0.460204536590855,0.367839853268659,-0.0101089590451587,0.103876100728166,0.0190410752473634,0.040800866665503,0.0350535667711539,-0.125902145770354,-0.0179552848789884,0.0326242254690444,-0.0291255430306009,0.0152976290575368,-0.00104764940163366,-0.000715111136777732,-0.000721255303031715,-0.00257466453288252,0.000141860935459865
"A02B",-2.55809196907941,-0.235642055985277,-1.30773940420666,0.809654856013543,2.77446344897564,3.04908831592846,-0.467528339608202,-1.08222470811122,-0.21789029009309,-0.176022576882394,0.173188858956275,0.122357096849803,-0.0394905364375678,0.197177162282527,-0.118529509795758,-0.0853318298998259,-0.0477773161603012,0.0248332452925408,0.15116425775111,0.0678270599660985,0.00942219435689647,-0.000376850088090653,0.010361114285431,0.00275328299421443,0.000211202126430959,-0.00109332248241736,-8.23196041090379e-05,3.21997880473107e-05
"A03A",-1.58205086054414,-0.961803982932761,1.11549795612929,0.604752011833456,-0.870584498618039,0.397159953682563,-0.961196670585729,0.0563797837917552,-1.55959851363137,0.674007934621308,-0.391743410559863,-0.06786443870417,-0.13661306297456,-0.224395851175225,0.155858388495338,0.0237822919824987,-0.0169395191861705,0.0889941838687536,-0.0599712237864587,0.0727834345162737,-0.0155289328396862,-0.00223917783018111,-0.023172377987503,0.00829205514797161,-0.000414107018834357,-0.000478112914294539,-0.000172556412282927,-1.83697899544805e-05
"A03B",-0.012195335690151,-1.19811637459337,-0.758652285691824,0.705437713057009,-0.481093807713799,0.0107191418281795,-0.598022358543734,0.507352881090632,0.0109950498456547,-0.0261492522685228,-0.496021215944582,-0.0771113197781635,0.0124295248205681,0.22503516100995,-0.124151537533916,-0.4648861490908,0.254194149966633,0.213439775931465,-0.216794894407169,-0.0122677523547962,0.0223240267476128,0.0121068879297503,0.0181270090919705,-0.00448078827072946,0.00298710909202143,-0.000622696080431584,0.00133834982296849,-4.74409902997927e-05
"A04A",-1.40337567851787,-3.62307776156758,1.76054242606918,-0.92998614077659,0.582656742583845,-0.310141933455375,-0.433167958331749,-0.176121327291639,-0.433429939785767,-0.248611182875413,0.0910359793382572,-0.288531447805854,-0.122830937759837,-0.169388704549177,0.164035198198716,0.0846797492495619,-0.140304038866762,0.00274744805808083,-0.0793579872430958,0.00703195807246108,-0.0163114352870679,0.0213101645852364,-0.00396163027976823,-0.000723596472782809,-0.00279402411123362,0.000286712264393751,0.002057874145803,0.000111385848354812
"A04B",1.26732434466336,-2.58833741636681,-0.323602768159964,0.27198761639683,-0.371158658668323,-0.0294547767150385,-0.341929484513649,0.0724270523663026,0.147442439478785,-0.593326680693307,-0.314329986482964,-0.293045667654008,0.179099600084399,-0.0962124642698311,0.055669847131156,-0.211495519999282,0.246602113925541,-0.0227772125935026,0.184826384955526,-0.00853668480989671,-0.0299387970317859,0.0193974124604483,-0.00461022664520178,-0.00503051589494838,-0.00217347295592881,0.000471523985369038,-0.000412436615216838,3.41649852809616e-05
"A05A",1.16516001053795,-2.22269767469737,1.36160516494535,0.695388340445786,-0.40321478782359,-0.0182525230440471,-0.62093774548869,0.170454597603181,-0.216800259507547,0.0331329477876808,-0.662570385027198,0.0966271594318822,-0.59782124917337,-0.199825840538861,-0.104983754174969,0.197441049890114,0.00161028103872274,-0.0259004739411262,0.208064977222445,-0.0295866527337122,-0.0317382979095859,0.0189094352860887,0.02182379037208,-0.0070482586103332,0.00537436352021216,0.000942190027726775,-0.0013956511227865,-1.26128662846321e-05
"A05B",2.47276553416831,-2.2721232075645,-1.5593250894007,0.271208230783592,-0.377826215196393,-0.0620849097465515,-0.688510729279391,0.349221807499947,0.233524404642528,-0.248970867724987,0.217608658857627,-0.00729456488763791,0.283073008474679,-0.249785876775411,0.101003641460723,-0.14192462092262,-0.00367737551908949,0.0398101058966053,0.21662793704722,-0.037795997567028,0.0247534787638744,-0.0160735197243514,-0.0124605872672402,-4.10820750237281e-05,-0.00440451234080796,-0.00109748161861656,0.000421797656471434,-0.000110776333464058
"A06A",3.00378966344807,-2.47754565071174,-2.85538581047826,-0.892178721904693,-0.699190227907964,0.204280498484608,-0.494425573643123,0.199531450348874,0.261314713811301,0.264008403718761,0.556266178703512,-0.00731594723952478,0.100525738967941,0.29900745729941,0.231626086760446,0.266203455072334,-0.157163064471302,0.02772416002953,-0.0413028272992708,-0.0706180488106346,0.0406612756370932,0.0509423590176842,8.19419840293253e-06,0.0010239620436217,0.00321245815284506,0.000425401598624864,-0.000803669537103868,-6.98159374073917e-05
"A06B",3.8986464487923,-2.3095513398974,-2.89340146500859,-1.66033144713598,-0.0883145394242987,0.751853163853841,-0.60457207687551,0.863532583336432,0.422100281508309,0.698576584161999,-0.186402948591703,0.266050755624902,-0.220148312351787,-0.097364576280644,-0.0251544265096875,-0.0220713707764248,-0.00157975219343863,-0.0442086029079275,-0.0194932265180381,-0.0198088201743809,-0.00586709821956808,-0.0380457262431278,0.00307255984589034,0.00479189840985562,-0.00362306407343972,0.00108103389439174,0.000916003870913507,0.000113155461966847
"G01A",-5.51729318725894,0.851485677271576,0.129270233989489,-1.23581795081842,-0.3831624419111,-0.303182526418196,0.420039174677243,0.116535674118724,-0.0756617736850348,0.187003519321763,0.458247177811259,-0.733291901011096,-0.779048903115,0.341264987431775,-0.309737719841742,0.0694606906452571,-0.000698283393182782,0.197284247961821,0.0452066991998004,-0.0667694325399211,0.0174039771992029,-0.0119047675800478,-0.0118615530734309,-0.00118115027779742,-0.00317330109601687,-0.000600710700763507,-0.000890696241741429,1.79332839929484e-05
