"Actinocyclus senarius","Bacillaria paxillifer","Bacteriastrum hyalinum","Cerataulina pelagica","Chaetoceros affinis","Chaetoceros compressus","Chaetoceros curvisetus","Chaetoceros danicus","Chaetoceros denticulatus","Chaetoceros diversus","Chaetoceros lorenzianus","Chaetoceros peruvianus","Chaetoceros sp 1","Chaetoceros subtilis","Coscinodiscopsis jonesiana","Coscinodiscus asteromphalus","Coscinodiscus granii","Coscinodiscus perforatus","Coscinodiscus radiatus","Coscinodiscus sp 1","Coscinodiscus sp 2","Coscinodiscus wailesii","Ditylum brightwellii","Guinardia flaccida","Gyrosigma sp","Lioloma elongatum","Lithodesmium undulatum","Navicula sp","Nitzschia sigmaformis","Nitzschia sigmoidea","Prorocentrum lima","Prorocentrum sp","Proboscia alata","Protoperidinium sp 1","Pseudonitzschia sp","Rhizosolenia imbricata","Rhizosolenia setigera","Skeletonema costatum","Stephanopyxis sp","Stephanopyxis turris","Thalassiosira nitzschioides","Trieres chinensis","Trieres mobiliensis","Tripos eugrammus","Aulacodiscus kittonii","Cerataulina sp","Ceratocorys horrida","Chaetoceros aff paradoxus","Chaetoceros brevis","Chaetoceros debilis","Chaetoceros paradoxus","Chaetoceros sp 3","Dinophysis caudata","Gyrosigma sp 2","Hobaniella longicruris","Melosira sp","Nitzschia sp","Phalacroma mitra","Proboscia sp","Protoperidinium sp 2","Protoperidinium sp 3","Thalassionema nitzschioides","Tripos extensus","Bacteriastrum delicatulum","Chaetoceros coarctatus","Chaetoceros radicans","Chaetoceros sp 2","Coscinodiscus gigas","Coscinodiscus marginatus","coscinodiscus sp 2","Gonyaulax sp","Hemiaulus sinensis","Hemiaulus sp","Leptocilindrus danicus","Lioloma pacificum","Lyrella sp","Odontella aurita","Prorocentrum rhathymum","Rhizosolenia cf hebetata","Skeletonema pseudocostatum","Skeletonema tropicum","Tripos muelleri","Cerataulina dentata","Cerataulina bicornis","Coscinodisus gigas","Guinardia sp","Guinardia striata","Hemiaulus hauckii","Hemiaulus membranaceus","Leptocilindrus sp","Meuniera membranacea","Neodelphineis pelagica","Phalacroma sp","Plagiotropis sp","Pyrophacus sp","Rhizosolenia bergonii","Tripos declinatus","Tripos sp","Bacteriastrum furcatum","Chaetoceros pseudocurvisetus","Diatomea pennada","Neocalyptrella robusta","Ornitocercus stenii","Podolampas bipes","Prorocentrum compressum","Protoperidinium pyrum","Protoperidinium sp 4","Pyrodinium bahamense","Tripos armatum","aff Dactiliosolen","aff Surriliella","Chaetoceros brevis complex","Cianobacteria","Phalacroma rapa","Protoperidinium (circular)","Protoperidinium (pentagonal-falconiforma)","Chetoceros diversus","Coscinodiscus sp 3","Coscinodicus sp 2","Entomoneis sp","Guinardia delicatula","Rhizolenia imbricata var. Shrubsolei","Thalassiosira sp","Tripos macroceros","Nepcalliptrella robusta","Tripos fusus","Central desconocida","Dinoflagelados 1","Ditylum","Protoperidinium (pentagonal)","Tripos candelabrum","Tripos massiliensis","Chaetoceros laciniosus","Chaetoceros protuberans","Diatomea central pequeña","Aulacodiscus archangelskianus","Eucampia zodiacus","Diploneis gruendleri","Prorocentrum mexicanum","Protoperidinium (pentagonal -falda)","Synedra sp","Pseudosolenia sp","Asteromphalus sp","Climacodiun frauenefeldianum","Tripos cf brevis","Tripos cf muelleri","Tripos cf vultur","Tripos pentagonus","Ornitocercus thumii","Thalassionema frauenfeldii","Tripos cf karsteni","Pseudosolenia calcar-avis","Prorocentrum cf cordatum","Pyrodinium sp","Thalassionema sp","Tripos aff brevis","Gyrodinium spirale","Phaeodactylum","Phalacorma sp","Planktoniella muriformis","Streptotheca sp","Stellarima sp","Protoperidinium sp3","Coscinodiscus wailesii-gigas","Thalassionema","Tripos cf mssiliensis","Actinociclus sp","Coscinodiscus centralis","Protoperidinium (pentagonal-falda)","Nitzschia closterium","Tripos trichoceros","Cyclotella striata","Dactyliosolen sp","Dinoflagelado circular","Ornitocercus sp","Tripos aff muelleri-brevis","Tripos brevis","Protoperidinium (esperico)","Tripos lunula","Dinoflageladodesnudo","Pyrocystis sp","Thalassionema nitzschioides/pseudo","Trios muelleri","Tripos macroceroS","Alexandrium sp","Thalssionema ","Gonyalacaceae","Gonyaulax polygramma","Protoperidinium pyriforme","Scripsiella sp","Tripos arietinus"
"A06A",83,0,0,0,317,0,0,100,0,0,0,0,0,0,950,50,233,83,0,0,0,117,50,50,67,0,400,0,0,0,0,0,0,0,0,0,0,3867,0,0,0,533,217,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,133,0,33,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,17,0,17,100,17,4133,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A05A",0,0,0,0,0,0,0,0,0,33,0,0,0,0,67,0,0,17,0,0,33,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,33,50,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,33,0,0,0,0,0,67,0,0,0,0,0,0,0,0,67,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A04A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,167,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A03A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,83,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A06B",50,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,50,50,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0,100,0,0,0,317,0,0,0,83,33,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,100,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A05B",0,0,0,0,17,0,100,0,0,0,0,0,0,0,850,0,83,0,67,67,100,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,217,0,0,0,83,100,17,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,67,0,0,0,0,0,0,33,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A04B",17,0,67,0,200,0,0,0,0,0,67,50,233,0,267,33,67,83,0,0,0,0,67,0,0,0,133,0,0,0,0,0,0,50,0,0,0,1300,0,0,0,333,183,0,0,0,0,0,0,0,0,0,100,0,17,0,0,0,50,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A03B",33,183,0,17,0,0,167,0,0,0,0,0,0,0,133,0,200,0,0,0,50,0,17,17,0,0,33,0,0,0,0,0,0,0,33,33,0,583,0,0,0,83,117,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,67,0,0,0,0,1283,67,0,0,0,0,0,0,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S02A",0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,50,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,1733,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S01A",0,0,0,0,0,0,0,0,0,117,0,0,0,0,17,0,33,0,0,0,17,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,1167,0,0,0,33,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,50,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A02A",0,0,0,0,0,0,0,0,0,133,67,0,0,0,50,0,17,0,0,0,0,17,33,0,0,0,0,0,0,0,0,0,0,0,0,33,0,200,0,0,0,50,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,17,0,0,0,0,0,0,0,0,0,0,0,0
"A01A",0,0,33,0,0,0,0,0,0,33,67,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,167,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,50,33,17,0,0,0,0,0,0,0
"S02B",0,0,0,67,0,0,267,0,0,0,0,0,0,0,0,0,50,0,0,0,17,0,67,0,0,0,0,0,0,0,0,0,0,0,33,0,0,750,0,0,0,33,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,50,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,133,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,17,0,0,0,0,0
"S01B",0,0,0,0,33,0,0,33,0,67,67,0,0,0,0,17,67,0,17,0,33,33,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A02B",0,0,0,33,0,0,117,0,0,67,100,0,0,0,83,0,250,33,0,0,0,0,67,0,0,0,33,0,0,0,0,0,0,67,100,50,0,2650,0,0,0,267,50,67,0,0,0,0,0,0,0,0,200,0,0,0,0,0,67,17,0,33,0,0,0,0,0,83,0,0,33,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A01B",0,0,0,50,33,0,150,100,0,83,117,17,0,0,17,0,133,33,17,0,117,17,50,0,0,0,50,0,0,0,0,0,0,183,83,0,0,2267,0,0,0,117,0,100,0,0,0,0,0,83,0,0,33,0,0,0,0,0,17,0,0,100,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,817,233,0,0,0,0,0,0,17,0,0,0,17,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17
