Pressure,Depth,Temperature,Conductivity,Specific_conductance,Salinity,Sound_velocity,Density,Latitud,Longitud,Fecha,Hora,Estacion,Marea
0.15,0.150520792,27.62935811,48963.85844,46517.62838,30.20242581,1535.441906,1018.912926,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
0.45,0.451559306,27.60621361,48906.4689,46483.54781,30.17759315,1535.36833,1018.902946,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
0.75,0.752594981,27.61963162,49001.44437,46561.94168,30.23446423,1535.463772,1018.942653,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
1.05,1.053621306,27.6265158,49055.97623,46607.66106,30.26760608,1535.519374,1018.966629,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
1.35,1.354641628,27.63291099,49096.39049,46640.39055,30.29131234,1535.563915,1018.983679,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
1.65,1.655658614,27.62257652,49089.45422,46642.9596,30.29310164,1535.547456,1018.989605,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
1.95,1.956670601,27.65031957,49184.65334,46708.78899,30.34086919,1535.665695,1019.017916,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
2.25,2.257666808,27.66015683,49349.81783,46856.8846,30.44847669,1535.806462,1019.096834,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
2.55,2.558629999,27.69293512,49678.25091,47139.38481,30.65397238,1536.10224,1019.241903,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
2.85,2.859535977,27.72543915,50194.84347,47600.21375,30.98968774,1536.534533,1019.484798,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
3.15,3.160373108,27.7741556,50700.53588,48035.38333,31.30721305,1536.983953,1019.708849,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
3.45,3.46115917,27.78999218,50959.0109,48265.78751,31.47549227,1537.201975,1019.831394,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
3.75,3.761899808,27.79047906,51314.82592,48602.34917,31.72159101,1537.467561,1020.017304,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
4.05,4.062610079,27.80262513,51371.0764,48644.43412,31.75231323,1537.532257,1020.037761,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
4.35,4.363315348,27.80324403,51396.33031,48667.77719,31.76931916,1537.556632,1020.051622,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
4.65,4.664018009,27.80758122,51408.97859,48675.75583,31.77507817,1537.577489,1020.055844,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
4.95,4.964719037,27.81164735,51427.02545,48689.0942,31.7847612,1537.601873,1020.063098,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
5.25,5.265418727,27.81873297,51440.17693,48695.01221,31.78901185,1537.627297,1020.065303,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
5.55,5.566117619,27.82710359,51458.05383,48704.21652,31.79566848,1537.658134,1020.0689,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
5.85,5.866815262,27.83094364,51471.94288,48713.82124,31.8026186,1537.679124,1020.074174,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
6.15,6.167512121,27.83543301,51477.55469,48714.99272,31.80339412,1537.695059,1020.074603,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
6.45,6.468207703,27.84827267,51512.22189,48735.95606,31.81866071,1537.744967,1020.083225,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
6.75,6.768900658,27.85750192,51543.0168,48756.57657,31.83367745,1537.786516,1020.09282,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
7.05,7.069591926,27.87245846,51568.81445,48767.18045,31.84135874,1537.833144,1020.095062,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
7.35,7.370281738,27.88559532,51602.83789,48787.23363,31.85596043,1537.882978,1020.103084,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
7.65,7.670968074,27.8952521,51646.57418,48819.66918,31.87963295,1537.934575,1020.119037,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
7.95,7.971652683,27.9113558,51662.52427,48819.88326,31.87970401,1537.975704,1020.11519,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
8.25,8.272337159,27.91912108,51682.46541,48831.56065,31.88817344,1538.007038,1020.120335,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
8.55,8.57302032,27.92838079,51702.91268,48842.33364,31.89598014,1538.041006,1020.1245,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
8.85,8.873702173,27.93966198,51728.38867,48855.98693,31.90589625,1538.081702,1020.129596,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
9.15,9.174383516,27.95026779,51740.58594,48857.71885,31.90707939,1538.111684,1020.128352,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
9.45,9.475064878,27.96027374,51757.10938,48864.08785,31.9116595,1538.143897,1020.129851,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
9.75,9.775742794,27.96971958,51812.763,48907.90758,31.94367804,1538.203749,1020.152128,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
10.05,10.07641609,27.97757509,51841.16911,48927.46508,31.95792311,1538.241329,1020.161575,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
10.35,10.37708477,27.99065538,51902.67011,48973.41779,31.99151016,1538.310917,1020.183854,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
10.65,10.67774658,28.01100822,51980.58257,49028.1022,32.0314993,1538.403426,1020.208584,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
10.95,10.97840285,28.02856904,52031.98299,49060.331,32.05503394,1538.472361,1020.221861,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
11.25,11.27905189,28.05337097,52139.14481,49138.39013,32.11217161,1538.592747,1020.258016,2.7703504,-78.3186895,30/04/2021,  7:04:27,S03,Alta
