Pressure,Depth,Temperature,Conductivity,Specific_conductance,Salinity,Sound_velocity,Density,Latitud,Longitud,Fecha,Hora,Estacion,Marea
0.15,0.150861523,27.27080536,43949.54688,42040.24271,26.97624126,1531.218602,1016.605994,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
0.45,0.452536941,27.3464689,44695.0929,42691.60255,27.44219696,1531.889874,1016.933013,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
0.75,0.753995681,27.4623012,47067.17237,44858.0898,29.00032189,1533.804201,1018.066474,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
1.05,1.055238984,27.54429939,47811.86165,45496.7163,29.46191898,1534.483111,1018.388159,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
1.35,1.356363217,27.62312533,48866.00586,46430.16312,30.13858252,1535.38071,1018.872175,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
1.65,1.657392823,27.61753001,49157.34601,46711.94752,30.3432471,1535.588903,1019.028846,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
1.95,1.95837945,27.63774293,49446.06681,46968.26275,30.52958339,1535.836221,1019.163558,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
2.25,2.2593161,27.67973018,49902.54404,47364.0847,30.81771855,1536.240007,1019.367733,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
2.55,2.560192481,27.7110435,50343.07371,47753.82004,31.10182187,1536.615257,1019.572287,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
2.85,2.86102206,27.7370905,50599.17027,47973.03927,31.26176374,1536.847613,1019.685315,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
3.15,3.161823023,27.756294,50783.60536,48130.37602,31.37661048,1537.016955,1019.766675,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
3.45,3.462588498,27.76668674,51104.67419,48425.13083,31.59200852,1537.272467,1019.926355,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
3.75,3.763315527,27.78623716,51328.26447,48618.98408,31.73376614,1537.470879,1020.027809,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
4.05,4.064024747,27.79824315,51382.92951,48659.69628,31.76348539,1537.534206,1020.047558,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
4.35,4.364729029,27.8035008,51416.10566,48686.26596,31.78285449,1537.571477,1020.061703,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
4.65,4.665430104,27.80824579,51436.65432,48701.34725,31.793814,1537.59873,1020.069698,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
4.95,4.966129396,27.81042484,51446.40235,48708.56701,31.79901801,1537.614161,1020.074196,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
5.25,5.266828618,27.81167698,51439.03783,48700.43972,31.79298561,1537.615669,1020.070555,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
5.55,5.567528713,27.81119595,51432.27773,48694.48306,31.78854257,1537.614967,1020.068665,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
5.85,5.86822931,27.81376041,51431.82635,48691.69128,31.78641669,1537.623535,1020.067535,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
6.15,6.168933176,27.80218796,51371.37111,48645.11595,31.75223905,1537.566617,1020.046885,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
6.456109047,6.475764913,27.79963554,51347.94825,48625.28664,31.73764111,1537.550665,1020.038062,2.7192951,-78.2225615,03/05/2021,  8:42:26,A05,Alta
