Pressure,Depth,Temperature,Conductivity,Specific_conductance,Salinity,Sound_velocity,Density,Latitud,Longitud,Fecha,Hora,Estacion,Marea
0.15,0.151254613,28.28657341,40155.08203,37678.42391,23.88170247,1530.292282,1013.971227,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
0.45,0.453490561,28.178713,43606.07469,40999.55813,26.23220029,1532.515365,1015.764438,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
0.75,0.755140318,28.03761043,47675.91677,44945.38534,29.06282821,1535.17342,1017.930575,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
1.05,1.05631716,27.85722297,49394.03115,46724.0127,30.35208065,1536.129094,1018.95638,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
1.35,1.357316509,27.8225539,49676.81929,47022.35658,30.56905322,1536.284654,1019.131567,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
1.65,1.658281084,27.80506577,49764.45962,47120.91434,30.64072826,1536.325863,1019.192242,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
1.95,1.959230324,27.7873712,49818.63677,47188.02589,30.68952452,1536.342502,1019.235817,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
2.25,2.260165998,27.76766597,49879.51506,47263.33271,30.74430078,1536.360907,1019.284523,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
2.55,2.561083274,27.74616041,49990.75094,47388.04734,30.83509224,1536.413205,1019.360837,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
2.85,2.861983709,27.73607229,50046.19744,47449.68222,30.87993507,1536.442799,1019.399014,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
3.15,3.162872817,27.72861416,50107.2425,47514.27977,30.92694645,1536.480608,1019.437979,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
3.45,3.463743903,27.71670499,50247.1297,47657.69191,31.03144975,1536.568999,1019.521526,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
3.75,3.764598209,27.71076128,50294.2629,47707.77511,31.0679047,1536.5991,1019.552086,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
4.05,4.065441553,27.71022977,50375.98918,47785.78029,31.12474094,1536.662889,1019.596216,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
4.35,4.366271651,27.71399425,50468.12906,47869.76379,31.18595675,1536.740978,1019.64226,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
4.65,4.667087024,27.71774509,50575.84825,47968.52385,31.25798062,1536.830431,1019.696423,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
4.95,4.967880947,27.72018161,50753.56187,48134.85113,31.37939184,1536.969003,1019.788088,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
5.25,5.268652622,27.72800945,50878.05648,48245.75876,31.46036251,1537.077064,1019.847666,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
5.55,5.569405871,27.7403803,51021.63094,48370.55654,31.55152267,1537.206076,1019.913438,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
5.85,5.870140527,27.74667834,51145.87913,48482.55923,31.63336184,1537.311593,1019.974159,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
6.15,6.17086129,27.7526355,51218.09486,48545.53178,31.67935395,1537.378537,1020.008073,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
6.45,6.471569375,27.76318073,51333.24414,48644.94846,31.7520314,1537.483919,1020.060552,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
6.75,6.772265331,27.76874165,51397.7044,48700.90019,31.79290959,1537.544569,1020.090752,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
7.05,7.072953174,27.77399963,51452.14986,48747.63162,31.82704416,1537.597423,1020.115986,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
7.35,7.373633665,27.78092289,51508.86719,48794.96641,31.8616264,1537.654482,1020.141021,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
7.65,7.674307804,27.78757954,51552.55859,48830.19741,31.88734863,1537.701596,1020.159488,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
7.95,7.974977098,27.78327179,51571.72949,48852.34255,31.9034867,1537.714009,1020.174282,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
8.25,8.275642515,27.77993911,51586.89819,48869.79699,31.91618978,1537.724988,1020.186183,2.8019255,-78.3185587,04/05/2021,  15:33:22,S02,Baja
