  Assemblage      n S.obs SC f1 f2 f3 f4 f5 f6 f7 f8 f9 f10
1   Amarales  40999    75  1  0  0  0  0  0  0  0  0  0   0
2 Sanquianga 101586   108  1  0  0  0  0  0  0  0  0  0   0
3   Guascama  40501    89  1  0  0  0  0  0  0  0  0  0   0
  Assemblage         Diversity   Observed  Estimator       s.e.        LCL        UCL
1   Amarales  Species richness  75.000000  75.000000 0.00000000  75.000000  75.000000
2   Amarales Shannon diversity  16.091857  16.106436 0.13749248  15.836956  16.375917
3   Amarales Simpson diversity   6.975729   6.976746 0.06278427   6.853691   7.099800
4   Guascama  Species richness  89.000000  89.000000 0.00000000  89.000000  89.000000
5   Guascama Shannon diversity  13.700414  13.715368 0.14895664  13.423418  14.007317
6   Guascama Simpson diversity   4.290629   4.290978 0.04679227   4.199267   4.382689
7 Sanquianga  Species richness 108.000000 108.000000 0.00000000 108.000000 108.000000
8 Sanquianga Shannon diversity  12.964157  12.971013 0.07598088  12.822094  13.119933
9 Sanquianga Simpson diversity   4.510175   4.510331 0.02577159   4.459820   4.560843
    Assemblage     m      Method Order.q        qD    qD.LCL    qD.UCL        SC    SC.LCL    SC.UCL
51    Amarales  2564 Rarefaction       1 15.861274 15.624321 16.098227 0.9965965 0.9964673 0.9967257
52    Amarales  2821 Rarefaction       1 15.883733 15.646412 16.121054 0.9970548 0.9969277 0.9971819
53    Amarales  3077 Rarefaction       1 15.902476 15.664857 16.140096 0.9974351 0.9973079 0.9975623
54    Amarales  3333 Rarefaction       1 15.918403 15.680537 16.156269 0.9977564 0.9976285 0.9978843
55    Amarales  3590 Rarefaction       1 15.932146 15.694073 16.170219 0.9980317 0.9979031 0.9981602
56    Amarales  3846 Rarefaction       1 15.944032 15.705784 16.182279 0.9982676 0.9981388 0.9983964
57    Amarales  4103 Rarefaction       1 15.954484 15.716086 16.192881 0.9984727 0.9983443 0.9986011
58    Amarales  4359 Rarefaction       1 15.963674 15.725146 16.202201 0.9986506 0.9985231 0.9987780
59    Amarales  4615 Rarefaction       1 15.971843 15.733203 16.210484 0.9988060 0.9986801 0.9989319
60    Amarales  4872 Rarefaction       1 15.979178 15.740437 16.217918 0.9989429 0.9988191 0.9990666
61    Amarales  5128 Rarefaction       1 15.985747 15.746918 16.224576 0.9990627 0.9989416 0.9991839
62    Amarales  5385 Rarefaction       1 15.991707 15.752799 16.230615 0.9991688 0.9990507 0.9992869
63    Amarales  5641 Rarefaction       1 15.997096 15.758117 16.236075 0.9992622 0.9991474 0.9993769
64    Amarales  5897 Rarefaction       1 16.002010 15.762967 16.241053 0.9993448 0.9992336 0.9994559
65    Amarales  6154 Rarefaction       1 16.006524 15.767422 16.245626 0.9994183 0.9993110 0.9995255
66    Amarales  6410 Rarefaction       1 16.010654 15.771498 16.249809 0.9994832 0.9993799 0.9995864
67    Amarales  6666 Rarefaction       1 16.014459 15.775254 16.253663 0.9995409 0.9994417 0.9996400
68    Amarales  6923 Rarefaction       1 16.017989 15.778739 16.257239 0.9995923 0.9994974 0.9996873
69    Amarales  7179 Rarefaction       1 16.021248 15.781956 16.260540 0.9996379 0.9995471 0.9997287
70    Amarales  7436 Rarefaction       1 16.024288 15.784957 16.263619 0.9996786 0.9995921 0.9997652
71    Amarales  7692 Rarefaction       1 16.027109 15.787741 16.266476 0.9997147 0.9996323 0.9997971
72    Amarales  7948 Rarefaction       1 16.029743 15.790342 16.269144 0.9997469 0.9996685 0.9998252
73    Amarales  8205 Rarefaction       1 16.032217 15.792784 16.271650 0.9997756 0.9997013 0.9998500
74    Amarales  8461 Rarefaction       1 16.034528 15.795066 16.273991 0.9998011 0.9997306 0.9998716
75    Amarales  8718 Rarefaction       1 16.036708 15.797217 16.276199 0.9998239 0.9997572 0.9998905
76    Amarales  8974 Rarefaction       1 16.038751 15.799234 16.278269 0.9998441 0.9997810 0.9999071
77    Amarales  9230 Rarefaction       1 16.040678 15.801136 16.280221 0.9998620 0.9998025 0.9999216
78    Amarales  9487 Rarefaction       1 16.042505 15.802939 16.282071 0.9998781 0.9998220 0.9999342
79    Amarales  9743 Rarefaction       1 16.044226 15.804638 16.283815 0.9998923 0.9998394 0.9999452
80    Amarales 10000 Rarefaction       1 16.045863 15.806253 16.285473 0.9999050 0.9998552 0.9999548
81    Amarales     1 Rarefaction       2  1.000000  1.000000  1.000000 0.1433333 0.1409595 0.1457071
82    Amarales   257 Rarefaction       2  6.818183  6.708712  6.927654 0.9420607 0.9409293 0.9431921
83    Amarales   513 Rarefaction       2  6.896399  6.784189  7.008608 0.9741005 0.9734045 0.9747965
84    Amarales   770 Rarefaction       2  6.923009  6.809860  7.036158 0.9841432 0.9836454 0.9846411
85    Amarales  1026 Rarefaction       2  6.936339  6.822718  7.049961 0.9887961 0.9884229 0.9891693
86    Amarales  1282 Rarefaction       2  6.944371  6.830464  7.058277 0.9914729 0.9911892 0.9917567
87    Amarales  1539 Rarefaction       2  6.949756  6.835659  7.063853 0.9932158 0.9929960 0.9934356
88    Amarales  1795 Rarefaction       2  6.953592  6.839359  7.067826 0.9944333 0.9942564 0.9946101
89    Amarales  2052 Rarefaction       2  6.956484  6.842147  7.070820 0.9953399 0.9951897 0.9954900
90    Amarales  2308 Rarefaction       2  6.958725  6.844309  7.073142 0.9960384 0.9959027 0.9961742
91    Amarales  2564 Rarefaction       2  6.960520  6.846040  7.075000 0.9965965 0.9964673 0.9967257
92    Amarales  2821 Rarefaction       2  6.961995  6.847463  7.076528 0.9970548 0.9969277 0.9971819
93    Amarales  3077 Rarefaction       2  6.963220  6.848644  7.077796 0.9974351 0.9973079 0.9975623
94    Amarales  3333 Rarefaction       2  6.964257  6.849644  7.078870 0.9977564 0.9976285 0.9978843
95    Amarales  3590 Rarefaction       2  6.965150  6.850505  7.079794 0.9980317 0.9979031 0.9981602
96    Amarales  3846 Rarefaction       2  6.965920  6.851248  7.080593 0.9982676 0.9981388 0.9983964
97    Amarales  4103 Rarefaction       2  6.966597  6.851901  7.081294 0.9984727 0.9983443 0.9986011
98    Amarales  4359 Rarefaction       2  6.967193  6.852475  7.081910 0.9986506 0.9985231 0.9987780
99    Amarales  4615 Rarefaction       2  6.967722  6.852986  7.082458 0.9988060 0.9986801 0.9989319
100   Amarales  4872 Rarefaction       2  6.968197  6.853444  7.082951 0.9989429 0.9988191 0.9990666
 [ reached 'max' / getOption("max.print") -- omitted 260 rows ]
