Codigo,ID,Transecto,No.Estacion,Estacion,latitud,longitud,Fecha,Hora,Marea,NO2,NO3,PO4,SiO2,Clorofila,Conductividad,Salinidad,pH,OD,Transparencia,SST,TSI_Clor,TSI_SECCHI,Temperatura_mean,Salinidad_mean,Densidad_mean,Profundidad_mean,Temperatura_median,Salinidad_median,Densidad_median,Profundidad_median,Temperatura_n,Salinidad_n,Densidad_n,Profundidad_n,Temperatura_sd,Salinidad_sd,Densidad_sd,Profundidad_sd,Temperatura_min,Salinidad_min,Densidad_min,Profundidad_min,Temperatura_max,Salinidad_max,Densidad_max,Profundidad_max
G01A,13,Guascama,1,G01,2.784031,-78.400528,02/05/2021,8:28:00,Alta,0.05,0.27,0.06,5.41,0.79,48.9,31.8,8.21,8.06,7,20.6,28,32,22.928603516492753,34.01296222968116,1023.3975943913044,51.753938958559424,22.78759013,34.53587728,1023.862018,51.77551142,345,345,345,345,3.1529818899449493,1.1811349787755152,1.8831691657334129,29.88645205469688,18.53453445,30.16775252,1018.945015,0.150516443,27.89178128,34.99351035,1025.587494,103.1172501
G01B,14,Guascama,1,G01,2.784031,-78.400528,02/05/2021,14:43:00,Baja,0.11,1,0.13,24.02,1.57,42.6,27.2,8.24,7.6,2.5,27.85,35,47,22.192244998965517,33.79601722824712,1023.4112965545976,52.223872057074715,21.13908162,34.560982339999995,1024.3132875,52.26060812,348,348,348,348,4.36571340685703,1.7280690490289576,2.5563525257810955,30.145388424584382,16.56148529,25.3645713,1015.211951,0.151067954,27.91557154,35.16253832,1026.19539,104.1910259
G02A,15,Guascama,2,G02,2.7514980000000002,-78.400469,02/05/2021,8:01:00,Alta,0.09,1.03,0.13,14.58,0.74,48.7,31.6,8.22,7.63,3.5,21.85,28,42,23.119853822992425,33.83780761352273,1023.153538405303,39.615760573465906,23.030343255,34.507077765,1023.726279,39.63403101,264,264,264,264,3.3328977016279384,1.41725032933936,2.058636415529993,22.88454248914215,18.17213821,29.29400957,1018.290628,0.150612964,27.9135054,34.940569000000004,1025.490683,78.90464536
G02B,16,Guascama,2,G02,2.7514980000000002,-78.400469,02/05/2021,14:20:00,Baja,0.28,2,0.23,33.27,1.47,42.3,27,8.18,7.25,1.2,34.9,34,57,23.785337361867704,33.30000916003891,1022.5295514513618,38.60055375314008,23.98511028,33.95436712,1023.022861,38.63485876,257,257,257,257,4.089470976204906,1.832141156781032,2.5401105385976677,22.297404759671775,17.55783081,26.93552615,1016.306628,0.150900853,28.14943808,35.10433916,1025.795578,77.03986848
G03A,17,Guascama,3,G03,2.718948,-78.400437,02/05/2021,7:38:00,Alta,0.13,1.54,0.2,12.58,0.69,48.8,31.6,8.24,7.29,6,27.2,27,34,24.62936779887755,33.47023711209184,1022.3950191071428,29.43138825222449,23.71894884,34.3136708,1023.388219,29.452251089999997,196,196,196,196,3.0383985507452635,1.2632063934891675,1.889901794002132,17.017482083584625,19.85378647,29.94318033,1018.80588,0.150536813,27.88198925,34.83909093,1024.926467,58.58892531
G03B,18,Guascama,3,G03,2.718948,-78.400437,02/05/2021,13:46:00,Baja,0.23,2.15,0.34,32.55,0.94,42.6,27.2,8.16,6.84,1,37.1,30,60,25.56394573942105,33.02688531842105,1021.7876062,28.54798637851579,26.84567709,32.645828955,1021.042151,28.566241845,190,190,190,190,2.359520814536399,1.7956043003838955,1.9861333316566712,16.50787266937092,21.29085202,23.94682539,1014.146613,0.151226851,27.91899358,34.54814672,1024.214986,57.03710489
G04A,19,Guascama,4,G04,2.686398,-78.400405,01/05/2021,7:33:00,Alta,0.05,0.36,0.13,3.51,0.32,48.7,31.6,8.18,7.19,1.8,24.1,20,52,27.878290516666667,31.688455718333337,1019.9635887083332,3.605487414875,27.92933687,32.165058744999996,1020.3075115,3.609977766,24,24,24,24,0.12132787623250608,1.2522022858661546,0.9066855762975594,2.1187167172905657,27.44581867,27.39533525,1016.865487,0.150824317,27.93621159,32.1744727,1020.318929,6.963004477
G04B,20,Guascama,4,G04,2.686398,-78.400405,01/05/2021,13:55:00,Baja,0.32,4.09,0.32,78.47,1.34,30.2,18.5,7.95,6.48,0.8,50.38,33,63,27.325763993571428,18.840909880714285,1010.510106,2.1234230312142857,27.32379219,18.855091,1010.5208485,2.125270422,14,14,14,14,0.01455094239196182,0.3405315783450229,0.263960828305432,1.266995407636411,27.30928065,18.33993022,1010.11841,0.151830705,27.35534596,19.31284971,1010.874973,4.074261538
G05A,21,Guascama,5,G05,2.653849,-78.400374,01/05/2021,7:09:00,Alta,0.1,0.7,0.23,11.58,0.73,47,30.4,8.16,6.78,0.8,34.95,28,63,27.861355195217392,31.401602864347826,1019.7530782608696,3.457665287782609,27.88634726,31.79529277,1020.040512,3.460536543,23,23,23,23,0.084664193924041245,1.0867800290655591,0.7947805157351338,2.0354846307391488,27.53343034,27.06310456,1016.589018,0.150865005,27.92489417,32.05734664,1020.238784,6.70973011
G05B,22,Guascama,5,G05,2.653849,-78.400374,01/05/2021,13:28:00,Baja,0.33,3.98,0.35,71.3,1.57,32.1,19.3,7.96,6.06,0.8,72,35,63,27.252498795,22.842179290833332,1013.5242538333332,1.8102892863333333,27.249728509999997,21.24749239,1012.373095,1.820425986,12,12,12,12,0.1681512655555588,4.111813370873411,3.0398152701040577,1.077646105922304,27.0650753,18.33903921,1010.134131,0.151828553,27.51981544,28.69387945,1017.845561,3.379403653
G06A,23,Guascama,6,G06,2.621299,-78.400343,01/05/2021,6:42:00,Alta,0.15,1.15,0.42,16.85,0.86,45.5,29.3,8.14,6.62,0.6,53.53,29,67,27.76098986576923,30.517083398076924,1019.1234601538462,3.9159216946538464,27.826071235,31.322555925000003,1019.7103835,3.9151900445,26,26,26,26,0.129319076852542,1.672355960751918,1.221670325850882,2.303497158200915,27.32078953,24.71290138,1014.894715,0.151116963,27.85519514,31.42992575,1019.78813,7.707851996
G06B,24,Guascama,6,G06,2.621299,-78.400343,01/05/2021,12:54:00,Baja,0.37,4.31,0.62,77.47,1.38,30.2,18.5,7.87,5.87,0.6,77,34,67,26.94547147,18.550561922,1010.4086143333332,2.270391569,26.91604623,19.07934947,1010.817655,2.28046092,15,15,15,15,0.09986067685789823,3.0953210167613565,2.3018326848459827,1.342401646989941,26.81269568,12.20279309,1005.632983,0.152508286,27.13712209,23.10340763,1013.763912,4.265471871
S01A,25,Sanquianga,1,S01,2.832936,-78.319656,04/05/2021,9:58:00,Alta,0.05,0.36,0.11,11.4,1.13,48.4,31.4,8.22,7.66,10.5,16.3,32,26,22.12529804878788,33.803658991582495,1023.3988322962964,44.56866932822222,20.00551759,34.7322478,1024.751903,44.60396397,297,297,297,297,4.468051526937517,1.546200547004588,2.4874911135226365,25.735215265044527,16.94396973,25.99559096,1015.777996,0.150985104,27.80520439,35.13767581,1026.01934,88.92431481
S01B,26,Sanquianga,1,S01,2.832936,-78.319656,04/05/2021,16:03:00,Baja,0.06,0.19,0.09,6.86,0.81,44.7,28.5,8.22,7.05,8.5,18.12,29,29,23.316399755972697,33.691892257986346,1022.9927996143344,43.97954007344027,22.50731945,34.3214086,1023.655848,44.01308959,293,293,293,293,3.805619055387549,1.302728719421641,2.1717614949502617,25.402497785823662,18.12256557,30.01941326,1018.67038,0.150555956,27.95894422,35.05614439,1025.66695,87.81969414
S02A,27,Sanquianga,2,S02,2.800405,-78.319592,04/05/2021,9:33:00,Alta,0.07,0.6,0.1,10.95,1.07,47.9,30.8,8.21,7.37,5,19.95,31,37,22.614620220357143,33.73243318222222,1023.1945285198412,37.82026054817064,22.10996458,34.443946115,1023.929967,37.84690782,252,252,252,252,3.935484469124175,1.52119041782052,2.318808603433946,21.846135990158206,17.87510681,28.81922073,1017.911543,0.150668308,27.76846886,35.0847313,1025.697757,75.32179292
S02B,28,Sanquianga,2,S02,2.800405,-78.319592,04/05/2021,15:40:00,Baja,0.07,0.36,0.06,10.04,0.84,44.4,28.2,8.17,6.93,6,31.3,29,34,24.643519386954733,33.23872581987654,1022.2377244773662,36.50033102555144,25.81202612,33.18903109,1021.884868,36.5223093,243,243,243,243,3.413340482720682,1.4671980199562773,2.105383440881345,21.09471637015281,18.63467205,23.88170247,1013.971227,0.151254613,28.28657341,35.02795135,1025.455768,72.90723596
S03A,29,Sanquianga,3,S03,2.767854,-78.319562,30/04/2021,7:05:00,Alta,0.11,0.64,0.19,10.77,0.75,46.7,30,8.19,7.04,2.5,27.15,28,47,23.84382490440909,33.47150602495454,1022.6171197545456,33.0356809331,24.01470134,33.889419965,1022.9409405,33.06264149,220,220,220,220,4.07000365015639,1.3816095729848603,2.2547283420738355,19.093234252640546,17.5820713,30.17759315,1018.902946,0.150520792,28.08285427,35.07854504,1025.724019,65.82559846
S03B,30,Sanquianga,3,S03,2.767854,-78.319562,30/04/2021,12:40:00,Baja,0.45,1.21,0.36,27.28,1.23,43.5,27.7,8.12,6.29,0.9,35.8,33,62,24.51196429809756,33.05613307404878,1022.1122729512196,30.80061620124878,25.57861374,33.37234409,1022.07025,30.82367973,205,205,205,205,3.540121537934364,1.8934429813544256,2.385600856178063,17.802159613773956,18.41142714,24.96526772,1015.042057,0.151094589,28.01304348,34.94557069,1025.398672,61.4267758
S04A,31,Sanquianga,4,S04,2.735304,-78.319532,30/04/2021,6:38:00,Alta,0.09,0.87,0.33,12.67,0.73,46.6,30,8.16,6.85,2.5,22.6,28,47,27.77503204897436,32.02395863935897,1020.2835617948718,11.725323091282052,27.821356535,32.37799778,1020.52311,11.728096975,78,78,78,78,0.09116692803648546,0.7431719631017614,0.5665176142967449,6.808331254899521,27.54236398,29.60022297,1018.464061,0.15058722,27.85757653,32.53387687,1020.765322,23.14872173
S04B,32,Sanquianga,4,S04,2.735304,-78.319532,30/04/2021,11:59:00,Baja,0.69,2.17,0.35,42.35,2.39,39.4,24.8,8.1,5.91,0.75,42.1,39,64,27.66597183097222,30.351454114027774,1019.0596820138888,10.844545026527776,27.70768299,31.38984996,1019.8211685,10.84810902,72,72,72,72,0.08357411701911804,2.235093892017733,1.6735953717919043,6.2968700806680555,27.44981901,24.5183188,1014.708267,0.151144582,27.72813808,32.11472024,1020.405202,21.50271144
S05A,33,Sanquianga,5,S05,2.702753,-78.319502,29/04/2021,17:09:00,Alta,0.06,0.53,0.14,9.41,1.14,42.6,27.2,8.12,6.7,2.5,77.75,32,47,27.819999261714287,31.920741296285716,1020.1639145428572,5.259455389285715,27.85872244,32.25374706,1020.401406,5.263982925,35,35,35,35,0.1923605203647373,0.7835643856079932,0.6513693881318314,3.073941354942068,27.37139511,30.13997254,1018.71111,0.150551364,28.11364428,32.66393399,1020.887314,10.23459994
S05B,34,Sanquianga,5,S05,2.702753,-78.319502,29/04/2021,11:18:00,Baja,0.84,1.49,0.91,45.98,3.64,37.5,23.6,8.04,5.6,1,87.55,43,60,27.45874855125,27.237615304583333,1016.7586935416666,3.620849977125,27.468603725,28.01140981,1017.343762,3.62427455,24,24,24,24,0.05353709933621353,1.8499186171884543,1.3917456323048525,2.1295560343269697,27.38351255,23.58852226,1013.961649,0.151256055,27.61649322,28.90236303,1018.012753,7.043734305
S06A,35,Sanquianga,6,S06,2.670203,-78.319473,29/04/2021,16:23:00,Alta,0.25,2.28,0.25,44.44,1.57,38.3,24.1,8.03,6.12,2.5,160.97,35,47,27.941621970666667,29.060412157555557,1017.9871048,6.784303168644445,28.00672578,30.75681932,1019.236605,6.789582545,45,45,45,45,0.13052121424799135,2.933914088503407,2.240305843241009,3.951272865713682,27.7364948,22.17183292,1012.737739,0.151437904,28.16046421,31.06656205,1019.536006,13.29698791
S06B,36,Sanquianga,6,S06,2.670203,-78.319473,29/04/2021,10:33:00,Baja,0.73,2.46,0.47,44.98,4.99,35.7,22.3,8.02,5.41,1,188.05,46,60,27.478577275094334,25.079704906226414,1015.154608528302,8.009444506490565,27.46433608,24.91544369,1015.040431,8.013882785,53,53,53,53,0.02924954682132548,1.418924556401696,1.0786111559432805,4.662095076045736,27.44820997,22.23003544,1012.960412,0.151404981,27.56872554,27.19395913,1016.757842,15.73283784
