"longitud","latitud"
"1",-78.222562,2.849301
"2",-78.22249,2.816773
"3",-78.222462,2.784222
"4",-78.222434,2.751671
"5",-78.222406,2.71912
"6",-78.222378,2.686569
"7",-78.400528,2.784031
"8",-78.400469,2.751498
"9",-78.400437,2.718948
"10",-78.400405,2.686398
"11",-78.400374,2.653849
"12",-78.400343,2.621299
"13",-78.319656,2.832936
"14",-78.319592,2.800405
"15",-78.319562,2.767854
"16",-78.319532,2.735304
"17",-78.319502,2.702753
"18",-78.319473,2.670203
