Especies,Conteo,Estacion,,Suma de Conteo,Etiquetas de columna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinocyclus senarius,2,S06B,,Etiquetas de fila,A01A,A01B,A02A,A02B,A03A,A03B,A04A,A04B,A05A,A05B,A06A,G01A,G01B,G02A,G02B,G03B,G04A,G04B,G05A,G05B,G06A,G06B,S01A,S01B,S02A,S02B,S03A,S03B,S04A,S04B,S05A,S05B,S06A,S06B,Total general
Bacteriastrum hyalinum,9,S04A,,Podolampas bipes,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,2
Chaetoceros affinis,50,S04A,,Podoloampas bipes,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Chaetoceros brevis,11,S04A,,Probocia sp,,1,,4,,,,3,,,,,,5,1,,1,2,,2,,,2,1,,,2,5,6,1,8,3,,,47
Chaetoceros danicus,4,S04A,,Proboscia sp,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4
Chaetoceros denticulatus,1,S04A,,Prorocentrum cf cordatum,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
Chaetoceros diversus,29,S04A,,Prorocentrum compressum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Chaetoceros lorenzianus,17,S04A,,Prorocentrum lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Chaetoceros paradoxus,2,S04A,,Prorocentrum mexicanum,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
Chaetoceros peruvianus,3,S04A,,Prorocentrum rhatymun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
Chaetoceros pseudocurvisetus,4,S04A,,Prorocentrum sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
Chaetoceros sp 1,28,S04A,,Prortoperidinium (pentagonal),,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,6
Coscinodiscus gigas,1,S04A,,Prosbocia alata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4
Coscinodiscus granii,1,S04A,,Protoperidinium (circular),,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Coscinodiscus perforatus,2,S04A,,Protoperidinium (esperico),,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Coscinodiscus sp 1,1,S04A,,Protoperidinium (pentaginal -falda),,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
Coscinodiscus sp 2,4,S04A,,Protoperidinium (pentagonal),,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
Coscinodiscopsis jonesiana,1,S04A,,Protoperidinium (pentagonal-falda),,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4
Diatomea pennada,2,S04A,,Protoperidinium circular,1,5,,,2,,,,,,3,,,,1,,,,,,,,,,,,1,,,,,,,,13
Ditylum brightwellii,3,S04A,,Protoperidinium pentagonal,,,1,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,6
Guinardia flaccida,2,S04A,,Protoperidinium pentagonal-falconiforma,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
Guinardia sp,1,S04A,,protoperidinium pyriforme,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Hemiaulus sinensis,1,S04A,,Protoperidinium pyrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Lioloma elongatum,3,S04A,,Protoperidinium pyrum (?),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
Lithodesmium undulatum,1,S04A,,Protoperidinium sp,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,3,1,,,5,14
Neocalyptrella robusta,1,S04A,,Protoperidinium sp ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Odontella aurita,1,S04A,,Protoperidinium sp (Circular),,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Ornitocercus stenii,1,S04A,,Protoperidinium sp (discotriangular),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Podolampas bipes,1,S04A,,Protoperidinium sp (pentagonal),,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2
Proboscia sp,6,S04A,,Protoperidinium sp (pentagonal-falda),,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4
Prorocentrum compressum,1,S04A,,Protoperidinium sp 1,,11,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,14
Protoperidinium pyrum,1,S04A,,Protoperidinium sp 2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,3
Protoperidinium sp 4,1,S04A,,Protoperidinium sp 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Pyrodinium bahamense,1,S04A,,Protoperidinium sp 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Rhizosolenia imbricata,1,S04A,,Protoperidinium sp3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Skeletonema costatum,132,S04A,,Protoperidinum sp,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
Trieres chinensis,2,S04A,,Protoperidium (pentagonal),,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
Tripos armatum,1,S04A,,Protoperodinium sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2
Tripos declinatum,2,S04A,,Pseudonitzschia sp,,5,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,3,5,,4,23
Tripos eugrammus,2,S04A,,Pseudonizschia sp,,,,6,,2,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,13
Tripos extensus,1,S04A,,Pseudonzschia sp,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
Tripos muelleri,3,S04A,,Pseudosolenia,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
aff Dactiliosolen,1,S03A,,Pseudosolenia calcar-abilis,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2
aff Surriliella,1,S03A,,Pyrocistis sp,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Bacteriastrum delicatulum,2,S03A,,Pyrodinium bahamense,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,3
Ceratocorys horrida,1,S03A,,Pyrodinium sp,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,2
Chaetoceros affinis,19,S03A,,Pyrofacus sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
Chaetoceros brevis complex,6,S03A,,Pyrophacus sp,,,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,4
Chaetoceros danicus,1,S03A,,Rhizolenia imbricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6
Chaetoceros diversus,18,S03A,,Rhizolenia imbricata var. Shrubsolei,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
Chaetoceros lorenzianus,20,S03A,,Rhizopsolenia imbricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
Cianobacteria,47,S03A,,Rhizosolenia bergonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
Coscinodiscus gigas,8,S03A,,Rhizosolenia cf hebetata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
Ditylum brightwellii,1,S03A,,Rhizosolenia cf imbricata,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4
Guinardia flaccida,1,S03A,,Rhizosolenia imbracata,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Hemiaulus sinensis,2,S03A,,Rhizosolenia imbricata,1,,,,,2,,,,,,,,2,,1,,3,,,,,,,,,2,,1,,6,,5,,23
Lioloma elongatum,1,S03A,,Rhizosolenia imbrincata,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,7,,6,20
Lithodesmium undulatum,2,S03A,,Rhizosolenia setigera,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,4
Phalacroma rapa,1,S03A,,Scripsiella sp,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Proboscia sp,2,S03A,,Skeletonaem pseudoconstatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9
Protoperidinium (circular),1,S03A,,Skeletonema constatum,10,136,12,159,,35,10,78,26,13,251,32,43,65,43,28,,242,36,,132,,70,8,104,45,231,320,132,152,104,442,287,840,4086
Protoperidinium (pentagonal-falconiforma),1,S03A,,Skeletonema constatus,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Rhizosolenia imbricata,2,S03A,,Skeletonema costatum,,,,,,,,,,,,,,,,,,,,,,370,,,,,,,,,,,,,370
Skeletonema costatum,231,S03A,,Skeletonema costatus,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,155
Trieres chinenesis,5,S03A,,Skeletonema pseudoconstatum,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,8
Tripos muelleri,1,S03A,,Skeletonema tropicum,,49,,39,,7,,,,,,,,,6,,,12,,,2,,,,,,,,,,57,,155,,327
Actinocyclus senarius,4,S04B,,Skeletonema trpicum,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6
Bacillaria paxillifer,15,S04B,,Stellarima sp,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
Bacteriastrum hyalinum,8,S04B,,Stephanopixys turris,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
Cerataulina pelagica,3,S04B,,Stephanopyxis sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
Chaetoceros affinis,5,S04B,,Stephanopyxis turris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,13,21
Chaetoceros curvisetus,9,S04B,,Streptotheca sp,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Chaetoceros denticulatus,2,S04B,,Stretoteca sp,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7
Chaetoceros lorenzianus,8,S04B,,Synedra sp,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
Chetoceros diversus,8,S04B,,Thalassionema fraiuenfeldii,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,5
Coscinodiscopsis jonesiana,10,S04B,,Thalassionema franfeldii,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,35
Coscinodiscus sp 1,7,S04B,,Thalassionema frauenfeldii,,,,,,,,12,,,,,4,,,,,,,,,,,,,,,,,,,,,,16
Coscinodiscus perforatus,2,S04B,,Thalassionema fraunfeildii,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Coscinodiscus sp 3,6,S04B,,Thalassionema fraunfeldi,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3
Dinophysis caudata,2,S04B,,Thalassionema fraunfeldii,,,4,,,5,,,,2,3,,,,,,,,,,,,,,,2,,,,,,,,,16
Ditylum brightwellii,3,S04B,,Thalassionema nittzschioides,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,8
Gyrosigma sp,4,S04B,,Thalassionema nitzschioides,,6,,2,,,2,4,,,,,,,15,,,,9,,13,,,,,,,11,,2,,21,22,,107
Hobaniella longicruris,2,S04B,,Thalassionema nitzschioides/pseudo,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Lioloma pacificum,2,S04B,,Thalassionema nitzscioides,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,6
Lithodesmium undulatum,4,S04B,,Thalassionema nizschioides,,,,,,2,,,2,,8,,,,,,,,,,,,2,1,,3,,,,,,,,,18
Proboscia sp,1,S04B,,Thalassionema sp,,,,,,4,3,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,11
Protoperidinium sp 1,3,S04B,,Thalassiosionema sp,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Protoperidinium sp 2,1,S04B,,Thalassiosira nitzschioides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28
Rhizosolenia imbricata,1,S04B,,Thalassiosira sp,1,,,,,,,2,,,3,,,,,1,,,,,,,,,,,,1,,,,,,,8
Skeletonema costatum,152,S04B,,Thallassionema nitzschioides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
Thalassionema nitzschioides,2,S04B,,Thalssionema ,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
Trieres chinenesis,9,S04B,,Thassionema fraunfeldii,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
Trieres mobiliensis,10,S04B,,Thassionema nitzschioides,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4
Tripos muelleri,1,S04B,,Thassionema sp,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2
Actinocyclus senarius,4,S03B,,Thassiosira sp,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4
Bacillaria paxillifer,12,S03B,,Trieres chinenensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,13
Bacteriastrum delicatulum,5,S03B,,Trieres chinenesi,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2
Cerataulina dentata,5,S03B,,Trieres chinenesis,1,,3,,,,1,,,,32,2,,,,1,2,11,,10,,6,,,1,2,5,,,9,,38,28,,152
Cerataulina pelagica,3,S03B,,Trieres chinensis,,7,,16,2,5,,20,2,5,5,,7,,5,4,,,2,,22,,2,,,,,16,2,,,,,50,172
Chaetoceros affinis,32,S03B,,Trieres mobiliensis,,,,3,3,7,,11,3,6,15,,,,12,2,,14,15,6,18,,,,,,,7,,10,,20,11,13,176
Chaetoceros brevis,7,S03B,,Trios muelleri,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Chaetoceros curvisetus,1,S03B,,Tripos aff brevis,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
Chaetoceros danicus,10,S03B,,Tripos aff muelleri-brevis,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,3
Chaetoceros diversus,7,S03B,,Tripos arietinus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Chaetoceros lorenzianus,5,S03B,,Tripos armatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Coscinodicus sp 2,36,S03B,,Tripos brevis,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
Coscinodiscopsis jonesiana,26,S03B,,Tripos candelabrus,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
Coscinodiscus gigas,1,S03B,,Tripos cf brevis,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2
Coscinodiscus granii,3,S03B,,Tripos cf karsteni,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
Coscinodiscus perforatus,6,S03B,,Tripos cf mssiliensis,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Coscinodiscus sp 3,3,S03B,,Tripos cf muelleri,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,3
Coscinodiscus wailesii,5,S03B,,Tripos cf vultur,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
Ditylum brightwellii,3,S03B,,Tripos declinatum,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,2,,,,5
Entomoneis sp,1,S03B,,Tripos eugrammus,,,1,,,1,,,,1,1,,,,3,,,,,,,,,,,,,,2,,2,,2,,13
Guinardia delicatula,2,S03B,,tripos eugramus,,6,,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,16
Guinardia flaccida,5,S03B,,Tripos extensum,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,2,,,7
Gyrosigma sp,3,S03B,,Tripos extensus,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,3
Gyrosigma sp 2,1,S03B,,Tripos fusus,,2,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,5
Hobaniella longicruris,2,S03B,,Tripos lunula,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Lioloma elongatum,1,S03B,,Tripos macroceros,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
Lioloma pacificum,1,S03B,,Tripos masiliensis,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
Lithodesmium undulatum,1,S03B,,Tripos masilienssis,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Navicula sp,6,S03B,,tripos massiliensis,1,2,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,5
Neocalyptrella robusta,1,S03B,,Tripos missiliensis,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
Odontella aurita,3,S03B,,Tripos muelleri,,14,,,,,,,1,,1,,6,,1,1,,,1,,1,,,,,2,1,2,3,1,,,1,,36
Proboscia sp,5,S03B,,Tripos muellerii,,,3,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,7
Protoperidinium sp 1,3,S03B,,Tripos pentagonum,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3
Pseudonitzschia sp,6,S03B,,Tripos sp,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,2,,,,6
Rhizosolenia imbricata,6,S03B,,Tripos trichoceros,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Rhizolenia imbricata var. Shrubsolei,2,S03B,,Total general,41,323,57,311,68,292,32,223,56,122,864,143,115,136,171,120,85,389,189,300,332,454,108,49,130,106,375,585,340,284,417,1107,874,1814,11012
Skeletonema costatum,320,S03B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephanopyxis turris,4,S03B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassionema nitzschioides,11,S03B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassiosira sp,1,S03B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trieres chinensis,16,S03B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trieres mobiliensis,7,S03B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripos macroceros,1,S03B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripos muelleri,2,S03B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteriastrum delicatulum,7,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteriastrum furcatum,1,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerataulina sp,4,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerataulina pelagica,2,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros affinis,18,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros lorenzianus,4,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscopsis jonesiana,10,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus gigas,11,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus granii,32,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus radiatus,3,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus sp 2,7,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus wailesii,7,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ditylum brightwellii,4,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinardia flaccida,3,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinardia delicatula,5,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyrosigma sp,7,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hobaniella longicruris,2,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithodesmium undulatum,4,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepcalliptrella robusta,1,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odontella aurita,7,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhizosolenia imbricata,4,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeletonema costatum,132,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeletonema tropicum,2,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassionema nitzschioides,13,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trieres chinensis,22,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trieres mobiliensis,18,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripos fusus,1,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripos muelleri,1,G06A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteriastrum delicatulum,7,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteriastrum hyalinum,7,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central desconocida,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerataulina dentata,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerataulina pelagica,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratocorys horrida,2,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros affinis,8,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros danicus,3,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros diversus,4,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscopsis jonesiana,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus gigas,11,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus granii,12,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus perforatus,6,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus radiatus,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus sp 1,4,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus sp 2,11,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinoflagelados 1,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ditylum,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinardia flaccida,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyrosigma sp,2,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemiaulus membranaceus,2,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hobaniella longicruris,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lioloma elongatum,4,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithodesmium undulatum,9,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navicula sp,2,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitzschia sp,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odontella aurita,10,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phalacroma rapa,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Podolampas bipes,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protoperidinium (pentagonal),6,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhizosolenia setigera,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeletonema costatum,36,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassionema nitzschioides,9,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trieres chinensis,2,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trieres mobiliensis,15,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripos candelabrus,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripos fusus,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tripos massiliensis,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripos muelleri,1,G05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteriastrum delicatulum,3,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteriastrum furcatum,1,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteriastrum hyalinum,4,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros laciniosus,2,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros affinis,2,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros brevis,8,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros danicus,3,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros diversus,5,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros lorenzianus,9,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros paradoxus,6,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros protuberans,4,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus gigas,2,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus granii,1,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus sp 2,9,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coscinodiscus wailesii,1,G04A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
