Codigo,ID,Transecto,No.Estacion,Sector,Estacion,latitud,longitud,Fecha,Hora,Marea,NO2,NO3,PO4,SiO2,Clorofila,Conductividad,Salinidad,pH,OD,Transparencia,SST,Temperatura_Sup,Salinidad_Sup,Densidad_Sup,Temperatura_mean,Salinidad_mean,Oxigeno_mean,Densidad_mean,Temperatura_sd,Salinidad_sd,Oxigeno_sd,Densidad_sd,Temperatura_min,Salinidad_min,Oxigeno_min,Densidad_min,Temperatura_max,Salinidad_max,Oxigeno_max,Densidad_max,Profundidad_max
G02A,15,Guascama,2,Oceanico,G02,2.751498,-78.400469,2/05/2021,8:01:00,Alta,0.09,1.03,0.13,14.58,0.74,48.7,31.6,8.22,7.63,3.5,21.85,24.667,26.2349,1016.8337,24.57066582,25.37596962,6.816074051,1016.368427,1.113894569,1.936945412,3.257570423,1.718657528,18.5766,21.6159,3.0846,1013.6721,25.0046,34.3434,14.1077,1024.833,79.5
G02B,16,Guascama,2,Oceanico,G02,2.751498,-78.400469,2/05/2021,14:20:00,Baja,0.28,2,0.23,33.27,1.47,42.3,27,8.18,7.25,1.2,34.9,27.9732,16.3038,1008.5972,23.9296039,32.93914416,4.513569935,1022.161305,4.03329305,2.344962931,0.93975349,2.784366184,17.7418,16.3038,2.8656,1008.5972,28.1403,34.9796,5.6552,1025.5933,77.5
G03A,17,Guascama,3,Oceanico,G03,2.718948,-78.400437,2/05/2021,7:38:00,Alta,0.13,1.54,0.2,12.58,0.69,48.8,31.6,8.24,7.29,6,27.2,27.2636,29.4739,1018.4902,24.86211207,33.17633707,4.95712087,1022.077059,2.930264802,1.381094839,0.587940565,1.928186824,20.0313,29.4392,3.6433,1018.3837,28.0467,34.8173,5.9422,1024.7292,58.5
G03B,18,Guascama,3,Oceanico,G03,2.718948,-78.400437,2/05/2021,13:46:00,Baja,0.23,2.15,0.34,32.55,0.94,42.6,27.2,8.16,6.84,1,37.1,27.9243,23.9402,1014.189,25.64994825,32.69938772,4.88554955,1021.462261,2.395665415,2.052597799,0.543927135,2.165820693,21.4459,23.9402,3.6623,1014.189,28.0223,35.2585,5.6441,1024.8019,57.5
G04A,19,Guascama,4,Costero,G04,2.686398,-78.400405,1/05/2021,7:33:00,Alta,0.05,0.36,0.13,3.51,0.32,48.7,31.6,8.18,7.19,1.8,24.1,26.6895,18.8356,1010.8592,27.76434615,30.07826154,5.053484615,1018.817808,0.383894499,3.869187564,0.181570477,2.736962249,26.6895,18.8356,4.7962,1010.8592,28.0072,31.9827,5.3371,1020.1528,7
G04B,20,Guascama,4,Costero,G04,2.686398,-78.400405,1/05/2021,13:55:00,Baja,0.32,4.09,0.32,78.47,1.34,30.2,18.5,7.95,6.48,0.8,50.38,27.1688,17.7717,1009.7976,27.37267143,18.19117143,4.563416667,1010.012943,0.094727094,0.350589949,0.059470612,0.245987045,27.1688,17.7717,4.4523,1009.7801,27.4304,18.7465,4.601,1010.4144,4
G05A,21,Guascama,5,Costero,G05,2.653849,-78.400374,1/05/2021,7:09:00,Alta,0.1,0.7,0.23,11.58,0.73,47,30.4,8.16,6.78,0.8,34.95,26.9316,22.1402,1013.3003,27.78103636,30.09862727,5.148483333,1018.823836,0.296171819,2.727149036,0.059344769,1.898298072,26.9316,22.1402,5.082,1013.3003,27.961,31.6075,5.2538,1019.8895,6
G05B,22,Guascama,5,Costero,G05,2.653849,-78.400374,1/05/2021,13:28:00,Baja,0.33,3.98,0.35,71.3,1.57,32.1,19.3,7.96,6.06,0.8,72,27.4788,19.7624,1011.1397,27.30175,19.22626667,4.391566667,1010.801767,0.089607159,0.984339441,0.126806401,0.73826862,27.2365,18.2066,4.2976,1010.0279,27.4788,20.9487,4.5358,1012.1163,3.5
G06A,23,Guascama,6,Costero,G06,2.621299,-78.400343,1/05/2021,6:42:00,Alta,0.15,1.15,0.42,16.85,0.86,45.5,29.3,8.14,6.62,0.6,53.53,27.6636,27.8153,1017.1047,27.71565,29.10966923,4.124172727,1018.077846,0.173045115,1.896161961,0.786225308,1.377366471,27.4699,25.3984,3.6084,1015.3639,28.0073,31.4951,5.8209,1019.7824,7
G06B,24,Guascama,6,Costero,G06,2.621299,-78.400343,1/05/2021,12:54:00,Baja,0.37,4.31,0.62,77.47,1.38,30.2,18.5,7.87,5.87,0.6,77,26.891,12.9757,1006.2509,26.96105714,16.27104286,4.33565,1008.702,0.064734583,2.331735537,0.286744596,1.725754116,26.891,12.9757,3.9649,1006.2509,27.0935,20.5184,4.6447,1011.83,4
S01A,25,Sanquianga,1,Oceanico,S01,2.832936,-78.319656,4/05/2021,9:58:00,Alta,0.05,0.36,0.11,11.4,1.13,48.4,31.4,8.22,7.66,10.5,16.3,27.2709,26.5318,1016.3019,22.35262727,33.51865682,4.248476023,1023.091206,4.462872672,1.646465258,0.916614599,2.550065751,17.1285,26.5318,3.0713,1016.3019,27.885,35.1393,5.7142,1025.8211,88.5
