Codigo,ID,Transecto,No.Estacion,Sector,Estacion,latitud,longitud,Fecha,Hora,Marea,NO2,NO3,PO4,SiO2,Clorofila,Conductividad,Salinidad,pH,OD,Transparencia,SST,TSI_Clor,TSI_SECCHI,Temperatura_mean,Salinidad_mean,Densidad_mean,Profundidad_mean,Temperatura_sd,Salinidad_sd,Densidad_sd,Profundidad_sd,Temperatura_min,Salinidad_min,Densidad_min,Temperatura_max,Salinidad_max,Densidad_max,Profundidad_max
G02B,16,Guascama,2,Oceanico,G02,2.751498,-78.400469,02/05/2021,14:20:00,Baja,0.28,2,0.23,33.27,1.47,42.3,27,8.18,7.25,1.2,34.9,34,57,23.78533736,33.30000916,1022.529551,38.60055375,4.089470976,1.832141157,2.540110539,22.29740476,17.55783081,26.93552615,1016.306628,28.14943808,35.10433916,1025.795578,77.03986848
G03A,17,Guascama,3,Oceanico,G03,2.718948,-78.400437,02/05/2021,7:38:00,Alta,0.13,1.54,0.2,12.58,0.69,48.8,31.6,8.24,7.29,6,27.2,27,34,24.6293678,33.47023711,1022.395019,29.43138825,3.038398551,1.263206393,1.889901794,17.01748208,19.85378647,29.94318033,1018.80588,27.88198925,34.83909093,1024.926467,58.58892531
G03B,18,Guascama,3,Oceanico,G03,2.718948,-78.400437,02/05/2021,13:46:00,Baja,0.23,2.15,0.34,32.55,0.94,42.6,27.2,8.16,6.84,1,37.1,30,60,25.56394574,33.02688532,1021.787606,28.54798638,2.359520815,1.7956043,1.986133332,16.50787267,21.29085202,23.94682539,1014.146613,27.91899358,34.54814672,1024.214986,57.03710489
G04A,19,Guascama,4,Costero,G04,2.686398,-78.400405,01/05/2021,7:33:00,Alta,0.05,0.36,0.13,3.51,0.32,48.7,31.6,8.18,7.19,1.8,24.1,20,52,27.87829052,31.68845572,1019.963589,3.605487415,0.121327876,1.252202286,0.906685576,2.118716717,27.44581867,27.39533525,1016.865487,27.93621159,32.1744727,1020.318929,6.963004477
G04B,20,Guascama,4,Costero,G04,2.686398,-78.400405,01/05/2021,13:55:00,Baja,0.32,4.09,0.32,78.47,1.34,30.2,18.5,7.95,6.48,0.8,50.38,33,63,27.32576399,18.84090988,1010.510106,2.123423031,0.014550942,0.340531578,0.263960828,1.266995408,27.30928065,18.33993022,1010.11841,27.35534596,19.31284971,1010.874973,4.074261538
G05A,21,Guascama,5,Costero,G05,2.653849,-78.400374,01/05/2021,7:09:00,Alta,0.1,0.7,0.23,11.58,0.73,47,30.4,8.16,6.78,0.8,34.95,28,63,27.8613552,31.40160286,1019.753078,3.457665288,0.084664194,1.086780029,0.794780516,2.035484631,27.53343034,27.06310456,1016.589018,27.92489417,32.05734664,1020.238784,6.70973011
G05B,22,Guascama,5,Costero,G05,2.653849,-78.400374,01/05/2021,13:28:00,Baja,0.33,3.98,0.35,71.3,1.57,32.1,19.3,7.96,6.06,0.8,72,35,63,27.2524988,22.84217929,1013.524254,1.810289286,0.168151266,4.111813371,3.03981527,1.077646106,27.0650753,18.33903921,1010.134131,27.51981544,28.69387945,1017.845561,3.379403653
G06A,23,Guascama,6,Costero,G06,2.621299,-78.400343,01/05/2021,6:42:00,Alta,0.15,1.15,0.42,16.85,0.86,45.5,29.3,8.14,6.62,0.6,53.53,29,67,27.76098987,30.5170834,1019.12346,3.915921695,0.129319077,1.672355961,1.221670326,2.303497158,27.32078953,24.71290138,1014.894715,27.85519514,31.42992575,1019.78813,7.707851996
G06B,24,Guascama,6,Costero,G06,2.621299,-78.400343,01/05/2021,12:54:00,Baja,0.37,4.31,0.62,77.47,1.38,30.2,18.5,7.87,5.87,0.6,77,34,67,26.94547147,18.55056192,1010.408614,2.270391569,0.099860677,3.095321017,2.301832685,1.342401647,26.81269568,12.20279309,1005.632983,27.13712209,23.10340763,1013.763912,4.265471871
S01A,25,Sanquianga,1,Oceanico,S01,2.832936,-78.319656,04/05/2021,9:58:00,Alta,0.05,0.36,0.11,11.4,1.13,48.4,31.4,8.22,7.66,10.5,16.3,32,26,22.12529805,33.80365899,1023.398832,44.56866933,4.468051527,1.546200547,2.487491114,25.73521527,16.94396973,25.99559096,1015.777996,27.80520439,35.13767581,1026.01934,88.92431481
