"Assemblage","t","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"Amarales",1,"Rarefaction",0,21.5,19.3362432510439,23.6637567489561,0.424242424242424,0.386377126963962,0.462107721520886
"Amarales",2,"Rarefaction",0,33.8787878787879,30.9157295651011,36.8418461924746,0.599647639182524,0.558070515516438,0.641224762848611
"Amarales",3,"Rarefaction",0,42.4863636363637,39.1149357487317,45.8577915239956,0.700516795865634,0.661246611310604,0.739786980420663
"Amarales",4,"Rarefaction",0,48.9252525252525,45.2746291818209,52.5758758686841,0.762849424477332,0.726673502215446,0.799025346739217
"Amarales",5,"Rarefaction",0,54.0239898989898,50.1339118290783,57.9140679689014,0.803642739689251,0.769923519724,0.837361959654503
"Amarales",6,"Rarefaction",0,58.245670995671,54.1254474497265,62.3658945416155,0.83178126782778,0.799779148706386,0.863783386949173
"Amarales",7,"Rarefaction",0,61.8623737373737,57.5101829757342,66.2145644990131,0.852184637068358,0.821375592377707,0.882993681759009
"Amarales",8,"Rarefaction",0,65.040404040404,60.4501992332517,69.6306088475564,0.867629786234437,0.837647817756933,0.897611754711941
"Amarales",9,"Rarefaction",0,67.8863636363637,63.0511469503086,72.7215803224187,0.87984496124031,0.850366950403416,0.909322972077203
"Amarales",10,"Rarefaction",0,70.469696969697,65.3831593665138,75.5562345728802,0.890063424947146,0.860738348939116,0.919388500955175
"Amarales",11,"Rarefaction",0,72.8333333333333,67.4901236576679,78.1765430089988,0.89922480620155,0.869646399335594,0.928803213067507
"Amarales",12,"Observed",0,75,69.3950652598448,80.6049347401552,0.907622739018088,0.877562005272408,0.937683472763768
"Amarales",13,"Extrapolation",0,76.9861111111111,71.1044729769133,82.8677492453089,0.915320844099914,0.884811067793737,0.945830620406091
"Amarales",14,"Extrapolation",0,78.8067129629629,72.6266138340997,84.9868120918262,0.922377440424921,0.891572347501605,0.953182533348237
"Amarales",15,"Extrapolation",0,80.4755979938271,73.9720799140616,86.9791160735927,0.928845987056178,0.897940932823268,0.959751041289087
"Amarales",16,"Extrapolation",0,82.0054092721193,75.1534246608316,88.8573938834071,0.934775488134829,0.903967166275796,0.965583809993863
"Amarales",17,"Extrapolation",0,83.4077362772205,76.1844269148798,90.6310456395612,0.940210864123594,0.90967840859654,0.970743319650648
"Amarales",18,"Extrapolation",0,84.6932026985632,77.0793102735003,92.3070951236261,0.945193292113294,0.91509074874675,0.975295835479839
"Amarales",19,"Extrapolation",0,85.8715469181274,77.8520905891912,93.8910032470636,0.94976051777052,0.920215169277853,0.979305866263186
"Amarales",20,"Extrapolation",0,86.9516957860612,78.5161125735436,95.3872789985789,0.953947141289643,0.925060712611007,0.982833569968279
"Amarales",21,"Extrapolation",0,87.9418322483339,79.0837689644474,96.7998955322203,0.957784879515506,0.929636034834076,0.985933724196936
"Amarales",22,"Extrapolation",0,88.8494573387505,79.5663654077668,98.1325492697342,0.961302806222547,0.933950097729958,0.988655514715137
"Amarales",23,"Extrapolation",0,89.6814470049657,79.9740879685209,99.3888060414106,0.964527572370668,0.938012407146554,0.991042737594782
"Amarales",24,"Extrapolation",0,90.4441041989964,80.3160357760816,100.572172621911,0.967483608006446,0.941833020729302,0.99313419528359
"Amarales",25,"Extrapolation",0,91.1432066268578,80.600290615905,101.686122637811,0.970193307339242,0.945422447006172,0.994964167672312
"Amarales",26,"Extrapolation",0,91.7840505190641,80.8340042001203,102.734096838008,0.972677198394305,0.94879150202369,0.99656289476492
"Amarales",27,"Extrapolation",0,92.3714907535865,81.0234908927009,103.719490614472,0.974954098528113,0.951951158633807,0.997957038422419
"Amarales",28,"Extrapolation",0,92.9099776352321,81.1743186714598,104.645636599004,0.977041256984104,0.954912406117304,0.999170107850904
"Amarales",29,"Extrapolation",0,93.4035906100738,81.2913944293073,105.51578679084,0.978954485568762,0.957686128104901,1
"Amarales",30,"Extrapolation",0,93.8560691703455,81.3790418043468,106.333096536344,0.980708278438032,0.960283001401363,1
"Amarales",31,"Extrapolation",0,94.2708411839278,81.4410709772503,107.100611390605,0.982315921901529,0.962713415460319,1
"Amarales",32,"Extrapolation",0,94.6510488630449,81.4808405807267,107.821257145363,0.983789595076402,0.964987410830114,1
"Amarales",33,"Extrapolation",0,94.9995725689023,81.5013122343423,108.497832903462,0.985140462153368,0.967114634276399,1
"Amarales",34,"Extrapolation",0,95.3190526326049,81.5050983830907,109.133006882119,0.986378756973921,0.969104308125957,1
"Amarales",35,"Extrapolation",0,95.6119093576656,81.4945041654851,109.729314549846,0.987513860559427,0.970965211458381,1
"Amarales",36,"Extrapolation",0,95.8803613556379,81.4715640195069,110.289158691769,0.988554372179475,0.972705670975195,1
"Amarales",37,"Extrapolation",0,96.1264423537792,81.4380736844263,110.814811023132,0.989508174497852,0.974333559629204,1
"Amarales",38,"Extrapolation",0,96.3520166020753,81.3956181920946,111.308415012056,0.990382493289698,0.975856301360428,1
"Amarales",39,"Extrapolation",0,96.5587929963469,81.3455963734542,111.771989619239,0.991183952182223,0.977280880537394,1
"Amarales",40,"Extrapolation",0,96.748338024429,81.2892423404721,112.207433708386,0.991918622833704,0.978613854933082,1
"Amarales",41,"Extrapolation",0,96.9220876335044,81.2276443433217,112.616530923687,0.992592070930896,0.979861371269148,1
"Amarales",42,"Extrapolation",0,97.0813581084902,81.1617613485556,113.000954868425,0.993209398353321,0.981029182539445,1
"Amarales",43,"Extrapolation",0,97.2273560438937,81.0924376364402,113.362274451347,0.993775281823878,0.98212266647545,1
