Pressure,Depth,Temperature,Conductivity,Specific_conductance,Salinity,Sound_velocity,Density,Latitud,Longitud,Fecha,Hora,Estacion,Marea
0.15,0.150555956,27.95894422,49003.87731,46265.91224,30.01941326,1535.992353,1018.67038,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
0.45,0.451631218,27.81996972,49254.04566,46624.45465,30.27989248,1535.959122,1018.911552,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
0.75,0.752658988,27.80177598,49383.72729,46763.32034,30.3807771,1536.029456,1018.994355,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
1.05,1.053669906,27.79673509,49434.80079,46816.15322,30.41912221,1536.063551,1019.026032,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
1.35,1.354639783,27.77960762,49882.45581,47255.42502,30.73877528,1536.366793,1019.272676,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
1.65,1.655568746,27.76705444,49919.99536,47302.238,30.772802,1536.379442,1019.303523,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
1.95,1.956487228,27.76554912,49993.50411,47373.24347,30.824459,1536.435548,1019.344067,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
2.25,2.257385431,27.7595338,50169.24817,47545.19663,30.94972333,1536.559079,1019.441304,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
2.55,2.558257156,27.76168414,50329.4148,47695.04199,31.05893238,1536.684083,1019.523882,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
2.85,2.859107912,27.76248181,50443.73028,47802.65119,31.13737229,1536.773617,1019.5838,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
3.15,3.159947865,27.76626883,50473.70126,47827.62017,31.15551486,1536.806319,1019.597498,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
3.45,3.46077927,27.77462273,50570.43378,47911.69616,31.21680798,1536.894772,1019.642124,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
3.75,3.761587368,27.78291097,50800.18394,48121.8097,31.37018774,1537.08013,1019.755901,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
4.05,4.062364918,27.80127322,51007.23167,48301.13798,31.50117229,1537.264491,1019.849636,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
4.35,4.363119637,27.80891335,51135.2552,48415.36396,31.58461931,1537.374652,1019.911123,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
4.65,4.663859035,27.81217177,51220.39663,48492.98458,31.64131776,1537.446784,1019.953937,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
4.95,4.964588084,27.81482633,51275.64226,48542.84849,31.67772004,1537.496168,1019.981706,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
5.25,5.265304364,27.8296242,51410.71308,48657.08762,31.7612474,1537.622441,1020.040953,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
5.55,5.566000871,27.83029557,51554.10354,48792.17784,31.8600797,1537.733179,1020.116236,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
5.85,5.866683314,27.83363632,51596.51529,48829.22972,31.88713541,1537.774241,1020.136768,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
6.15,6.167360252,27.8390255,51635.82617,48861.44823,31.91065378,1537.81616,1020.153983,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
6.45,6.468034008,27.83992672,51644.04688,48868.39373,31.91565962,1537.828514,1020.158743,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
6.75,6.768704049,27.83911419,51680.42969,48903.57312,31.94135059,1537.858834,1020.179586,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
7.05,7.069366669,27.82273805,51709.34932,48946.10847,31.97243435,1537.859987,1020.209489,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
7.35,7.37002212,27.82605636,51749.03591,48980.59734,31.99762605,1537.899036,1020.228628,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
7.65,7.670672821,27.82559452,51771.83532,49002.60546,32.01367301,1537.919978,1020.242118,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
7.95,7.971318561,27.81549365,51792.81287,49031.83639,32.03501438,1537.924914,1020.262686,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
8.25,8.271959641,27.8148675,51811.42668,49050.03944,32.04827471,1537.942551,1020.274136,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
8.55,8.572598197,27.80899143,51811.33203,49055.40764,32.05212645,1537.938509,1020.28021,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
8.85,8.873231668,27.79750227,51845.89956,49098.81844,32.08386602,1537.951292,1020.309034,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
9.15,9.173859173,27.79422368,51861.4372,49116.58283,32.09680693,1537.962651,1020.321098,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
9.45,9.474482067,27.79008588,51890.079,49147.5607,32.11943706,1537.982301,1020.340715,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
9.75,9.775099392,27.77929592,51906.0918,49172.77778,32.13784305,1537.982586,1020.359301,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
10.05,10.07571245,27.77860291,51923.20973,49189.64018,32.15012598,1537.999045,1020.370039,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
10.35,10.37632367,27.78244495,51931.1582,49193.58913,32.15294027,1538.015684,1020.372207,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
10.65,10.67693418,27.78275299,51935.13867,49197.07265,32.15541226,1538.024041,1020.375255,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
10.95,10.97754278,27.77955911,51947.33379,49211.60262,32.16598475,1538.033091,1020.385513,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
11.25,11.27814764,27.78283483,51980.05835,49239.54778,32.18639931,1538.067022,1020.401081,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
11.55,11.57874939,27.78716976,51996.04603,49250.64771,32.19445951,1538.090296,1020.40703,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
11.85,11.87934894,27.78826065,52013.37706,49266.04554,32.20567176,1538.109624,1020.41639,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
12.15,12.17994646,27.7925025,52026.90501,49274.89941,32.21208495,1538.13095,1020.421131,2.8341958,-78.3195346,04/05/2021,  16:00:20,S01,Baja
