Pressure,Depth,Temperature,Conductivity,Specific_conductance,Salinity,Sound_velocity,Density,Latitud,Longitud,Fecha,Hora,Estacion,Marea
0.15,0.151830705,27.35534596,31062.08789,29664.67638,18.33993022,1522.319469,1010.11841,2.6866014,-78.4006124,01/05/2021 0:00,  13:53:40,G04,Baja
0.45,0.455489606,27.35016359,31082.2316,29686.85241,18.35498468,1522.328098,1010.132531,2.6866014,-78.4006124,01/05/2021 0:00,  13:53:40,G04,Baja
0.75,0.759141645,27.34372275,31138.98525,29744.71781,18.39433304,1522.359317,1010.165177,2.6866014,-78.4006124,01/05/2021 0:00,  13:53:40,G04,Baja
1.05,1.062764147,27.33086145,31458.64831,30057.45313,18.60731679,1522.558107,1010.329461,2.6866014,-78.4006124,01/05/2021 0:00,  13:53:40,G04,Baja
1.35,1.366353135,27.32607579,31571.69867,30168.22702,18.68279408,1522.631287,1010.388601,2.6866014,-78.4006124,01/05/2021 0:00,  13:53:40,G04,Baja
1.65,1.669932623,27.32264999,31574.07378,30172.47195,18.68564759,1522.631237,1010.393079,2.6866014,-78.4006124,01/05/2021 0:00,  13:53:40,G04,Baja
1.95,1.973500148,27.32555912,31730.18066,30319.96332,18.78618993,1522.749029,1010.468624,2.6866014,-78.4006124,01/05/2021 0:00,  13:53:40,G04,Baja
2.25,2.277040696,27.32493439,31941.14477,30521.91574,18.92399207,1522.897675,1010.573073,2.6866014,-78.4006124,01/05/2021 0:00,  13:53:40,G04,Baja
2.55,2.580553802,27.31668997,32089.63094,30668.63649,19.02418879,1522.988703,1010.651732,2.6866014,-78.4006124,01/05/2021 0:00,  13:53:40,G04,Baja
2.85,2.884050349,27.31437929,32149.75332,30727.45367,19.06433913,1523.030563,1010.68374,2.6866014,-78.4006124,01/05/2021 0:00,  13:53:40,G04,Baja
3.15,3.187535993,27.3134977,32230.03205,30804.69999,19.11709498,1523.089076,1010.724735,2.6866014,-78.4006124,01/05/2021 0:00,  13:53:40,G04,Baja
3.45,3.491008324,27.31450692,32327.10137,30896.8805,19.18007698,1523.162829,1010.7728,2.6866014,-78.4006124,01/05/2021 0:00,  13:53:40,G04,Baja
3.75,3.794459726,27.30928065,32505.76475,31070.74342,19.29900034,1523.280727,1010.864548,2.6866014,-78.4006124,01/05/2021 0:00,  13:53:40,G04,Baja
4.026633326,4.074261538,27.31302834,32529.35156,31091.06144,19.31284971,1523.308836,1010.874973,2.6866014,-78.4006124,01/05/2021 0:00,  13:53:40,G04,Baja
