Pressure,Depth,Temperature,Conductivity,Specific_conductance,Salinity,Sound_velocity,Density,Latitud,Longitud,Fecha,Hora,Estacion,Marea
0.15,0.150865005,27.53343034,44298.32254,42162.03116,27.06310456,1531.91514,1016.589018,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
0.45,0.452283998,27.74013682,48642.16518,46114.94026,29.90997241,1535.389411,1018.659507,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
0.75,0.753297758,27.81263945,50063.4171,47397.19282,30.84221456,1536.539973,1019.337145,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
1.05,1.054210615,27.82903917,50098.16993,47415.37108,30.85537619,1536.595764,1019.34306,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
1.35,1.35510322,27.84040702,50367.95042,47660.44895,31.0339936,1536.814518,1019.474761,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
1.65,1.655957042,27.85462918,50641.73549,47906.62263,31.21356595,1537.040665,1019.606269,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
1.95,1.956776868,27.84737248,50819.38637,48081.28009,31.34104858,1537.163757,1019.705583,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
2.25,2.257569476,27.84583173,50979.51231,48234.18484,31.45270601,1537.28301,1019.791188,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
2.55,2.558338801,27.84789403,51120.34369,48365.54477,31.54866603,1537.393807,1019.863855,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
2.85,2.859093306,27.85681314,51186.46755,48419.93351,31.58836105,1537.46068,1019.892079,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
3.15,3.159825837,27.87753046,51450.34817,48650.48322,31.7569782,1537.689797,1020.013294,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
3.45,3.460536543,27.88634726,51514.40352,48702.93203,31.79529277,1537.754953,1020.040512,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
3.75,3.761239081,27.89406714,51579.34571,48757.21277,31.83495618,1537.819069,1020.069095,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
4.05,4.061935099,27.89750355,51613.33261,48786.17056,31.8560809,1537.85407,1020.085138,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
4.35,4.36262106,27.90495183,51724.02346,48883.91508,31.92759717,1537.951128,1020.137723,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
4.65,4.66329614,27.91007316,51771.46431,48924.01505,31.95689509,1537.998499,1020.15936,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
4.95,4.963964363,27.90992603,51817.48051,48967.63651,31.98877909,1538.036824,1020.184637,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
5.25,5.264625528,27.91233415,51863.22682,49008.63631,32.0187457,1538.078836,1020.207651,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
5.55,5.565281392,27.92190668,51901.86206,49036.27375,32.03891956,1538.126528,1020.221,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
5.85,5.865933485,27.922669,51925.01797,49057.44453,32.05435664,1538.149555,1020.233635,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
6.15,6.166583291,27.91988927,51924.49704,49059.52918,32.05580315,1538.149933,1020.236909,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
6.45,6.467233601,27.92088343,51911.59082,49046.41368,32.04610585,1538.146996,1020.230597,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
6.691972165,6.70973011,27.92489417,51931.85292,49061.83917,32.05734664,1538.171875,1020.238784,2.6536085,-78.4002531,01/05/2021,  7:04:32,G05,Alta
