Pressure,Depth,Temperature,Conductivity,Specific_conductance,Salinity,Sound_velocity,Density,Latitud,Longitud,Fecha,Hora,Estacion,Marea
88.05,88.0002397,19.38883378,47219.61676,53188.62059,34.90282627,1521.126866,1025.233296,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
88.35,88.29943778,19.35012818,47168.04201,53176.8948,34.89234448,1521.011,1025.236639,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
88.65,88.59863468,19.33363204,47150.82788,53177.26713,34.8917647,1520.968819,1025.241779,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
88.95,88.89782951,19.31977826,47144.123,53186.32544,34.89769608,1520.941397,1025.251203,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
89.25,89.19702146,19.31031609,47145.6875,53199.44842,34.90681736,1520.929945,1025.261925,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
89.55,89.49620997,19.29674501,47145.42403,53215.4496,34.91786946,1520.909059,1025.275183,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
89.85,89.7953972,19.29342652,47132.31621,53204.63996,34.90965285,1520.895443,1025.27108,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
90.15,90.09458428,19.28814758,47131.54105,53210.10657,34.91332728,1520.889663,1025.27656,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
90.45,90.39377065,19.28213728,47120.80309,53205.20416,34.90933586,1520.873193,1025.276378,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
90.75,90.69295699,19.26329527,47093.3275,53196.81602,34.90219183,1520.816914,1025.277105,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
91.05,90.99214015,19.24576447,47100.46148,53225.95513,34.92272584,1520.795457,1025.29862,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
91.35,91.29132265,19.25457019,47084.80751,53197.67802,34.9022091,1520.802262,1025.281994,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
91.65,91.5905051,19.22413771,47067.17626,53214.3516,34.91297262,1520.733306,1025.299378,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
91.95,91.88968399,19.16472153,46992.8836,53201.83391,34.9009009,1520.55648,1025.306789,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
92.25,92.18886056,19.12320036,46946.19962,53198.99649,34.89676716,1520.439094,1025.315629,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
92.55,92.48803368,19.10213865,46938.40532,53215.56591,34.90786229,1520.39682,1025.330828,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
92.85,92.78720452,19.09284852,46924.74345,53211.28599,34.9041674,1520.371279,1025.331705,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
93.15,93.08637673,19.09732835,46913.51505,53193.14889,34.89092451,1520.374073,1025.321753,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
93.45,93.38554916,19.08889414,46913.65691,53203.48563,34.89802397,1520.363119,1025.330653,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
93.75,93.68472037,19.07310189,46889.21398,53194.81948,34.89079504,1520.315116,1025.3305,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
94.05,93.98389016,19.06156496,46887.10339,53206.35278,34.89862625,1520.296156,1025.340754,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
94.35,94.28305733,19.05395258,46887.14858,53215.59796,34.90495876,1520.286652,1025.348855,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
94.65,94.58222282,19.04281473,46875.42747,53215.74899,34.90443299,1520.259394,1025.352623,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
94.95,94.88138689,19.03668304,46874.91247,53222.57403,34.90905398,1520.252163,1025.359037,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
95.25,95.18054842,19.02545442,46875.00047,53236.24831,34.91847134,1520.235839,1025.370421,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
95.55,95.47970877,19.01857073,46858.85771,53226.23716,34.9106692,1520.212458,1025.367538,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
95.85,95.77886718,19.00996393,46870.69126,53250.09051,34.92769856,1520.212162,1025.384063,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
96.15,96.07802272,18.99616244,46854.89062,53248.83811,34.92600854,1520.175974,1025.38762,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
96.45,96.37717831,18.99922942,46851.75779,53241.56629,34.92069593,1520.183707,1025.384089,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
96.75,96.6763336,18.99739835,46856.70701,53249.40652,34.92626698,1520.18977,1025.390125,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
97.05,96.97548954,18.9873905,46824.71874,53225.1609,34.9078424,1520.145501,1025.379927,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
97.35,97.27464545,18.95310934,46791.61468,53229.0154,34.90892359,1520.054063,1025.39084,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
97.65,97.57380005,18.91068649,46727.48828,53207.42172,34.89088484,1519.917738,1025.389216,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
97.95,97.87295205,18.87290192,46703.5,53225.90706,34.90253642,1519.828019,1025.409075,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
98.25,98.17209853,18.83688354,46679.75,53242.55082,34.91290824,1519.741803,1025.427495,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
