Transecto,No.Estacion,Marea,Temperatura_mean,Salinidad_mean,Oxigeno_mean,Densidad_mean,Profundidad_mean,Temperatura_median,Salinidad_median,Oxigeno_median,Densidad_median,Profundidad_median,Temperatura_n,Salinidad_n,Oxigeno_n,Densidad_n,Profundidad_n,Temperatura_sd,Salinidad_sd,Oxigeno_sd,Densidad_sd,Profundidad_sd,Temperatura_min,Salinidad_min,Oxigeno_min,Densidad_min,Profundidad_min,Temperatura_max,Salinidad_max,Oxigeno_max,Densidad_max,Profundidad_max
Guascama,NA,Baja,27.37267143,18.19117143,4.563416667,1010.012943,2.5,27.4119,18.2258,4.5951,1010.0366,2.5,7,7,7,7,7,0.094727094,0.350589949,0.059470612,0.245987045,1.08012345,27.1688,17.7717,4.4523,1009.7801,1,27.4304,18.7465,4.601,1010.4144,4
Guascama,NA,Alta,27.78103636,30.09862727,5.148483333,1018.823836,3.5,27.8521,30.4999,5.1499,1019.069,3.5,11,11,11,11,11,0.296171819,2.727149036,0.059344769,1.898298072,1.658312395,26.9316,22.1402,5.082,1013.3003,1,27.961,31.6075,5.2538,1019.8895,6
Guascama,NA,Baja,27.30175,19.22626667,4.391566667,1010.801767,2.25,27.26915,18.87605,4.3413,1010.5609,2.25,6,6,6,6,6,0.089607159,0.984339441,0.126806401,0.73826862,0.935414347,27.2365,18.2066,4.2976,1010.0279,1,27.4788,20.9487,4.5358,1012.1163,3.5
Guascama,NA,Alta,27.71565,29.10966923,4.124172727,1018.077846,4,27.6937,29.4891,3.818,1018.3702,4,13,13,13,13,13,0.173045115,1.896161961,0.786225308,1.377366471,1.947220241,27.4699,25.3984,3.6084,1015.3639,1,28.0073,31.4951,5.8209,1019.7824,7
Guascama,NA,Baja,26.96105714,16.27104286,4.33565,1008.702,2.5,26.9536,15.8747,4.3665,1008.4118,2.5,7,7,7,7,7,0.064734583,2.331735537,0.286744596,1.725754116,1.08012345,26.891,12.9757,3.9649,1006.2509,1,27.0935,20.5184,4.6447,1011.83,4
Sanquianga,NA,Alta,22.35262727,33.51865682,4.248476023,1023.091206,44.75,20.2242,34.5035,3.8959,1024.4711,44.75,176,176,176,176,176,4.462872672,1.646465258,0.916614599,2.550065751,25.47547841,17.1285,26.5318,3.0713,1016.3019,1,27.885,35.1393,5.7142,1025.8211,88.5
Sanquianga,NA,Baja,23.47327386,33.29877386,4.444955114,1022.630079,44.75,22.4459,34.0429,4.2061,1023.29515,44.75,176,176,176,176,176,3.769142039,2.839183859,0.741787059,2.92904266,25.47547841,18.3221,0.3501,3.334,996.9767,1,27.9305,35.147,6.5277,1025.4804,88.5
Sanquianga,NA,Alta,22.90127838,33.43121007,4.326357042,1022.871029,38,22.46595,34.1183,4.2819,1023.5528,38,149,149,149,149,149,3.849546838,1.74850417,0.74365794,2.416877693,21.57834563,18.1,25.476,3.0756,1015.4554,1,27.864,35.1246,5.7919,1025.4836,75
Sanquianga,NA,Baja,24.91419167,32.89403194,4.820337956,1021.864644,36.75,26.38715,32.71595,4.8889,1021.27025,36.75,144,144,144,144,144,3.342000152,1.744810509,0.693626501,2.210266806,20.85665361,18.8681,19.4762,3.6215,1010.6995,1,28.3921,35.0313,6.6182,1025.4028,72.5
Sanquianga,NA,Alta,24.01287879,33.07607576,4.676005344,1022.241899,33.75,24.48155,33.13035,4.7817,1021.93465,33.75,132,132,132,132,132,3.979607117,2.662574916,0.927338971,2.824265932,19.1245915,17.8308,7.195,2.8203,1002.5278,1,28.165,35.569,5.8524,1025.9971,66.5
Sanquianga,NA,Baja,24.6816623,32.54890082,4.787365,1021.655186,31.25,25.83265,32.7437,4.855,1021.2046,31.25,122,122,122,122,122,3.41437071,3.451357408,0.704555694,3.200509841,17.68120471,18.5373,1.6371,3.409,998.3004,1,28.0679,35.0429,5.6013,1025.2475,61.5
Sanquianga,NA,Alta,27.87352444,31.65571333,5.35474186,1019.975253,12,27.9671,32.1819,5.4548,1020.3285,12,45,45,45,45,45,0.206372509,1.367542198,0.276951373,0.972478018,6.566962768,26.9841,24.4799,4.5903,1014.9614,1,28.0211,32.3741,5.7893,1020.6126,23
Sanquianga,NA,Baja,27.75550769,29.70898718,4.970117647,1018.546723,10.5,27.842,30.9765,5.2259,1019.4704,10.5,39,39,39,39,39,0.13162472,2.516978477,0.527236406,1.86900587,5.700877125,27.4932,24.5891,4.0439,1014.7458,1,27.8565,31.9357,5.5177,1020.2267,20
Sanquianga,NA,Alta,27.91612381,30.45536667,5.273404762,1019.028724,6,27.9738,32.0131,5.414,1020.1724,6,21,21,21,21,21,0.176853182,5.131641833,0.328632686,3.819931257,3.102418411,27.5358,8.4429,4.3597,1002.6861,1,28.1276,32.4692,5.5268,1020.6896,11
Sanquianga,NA,Baja,27.39166875,25.5832375,4.208971429,1015.559313,4.75,27.43675,27.29225,4.22185,1016.8149,4.75,16,16,16,16,16,0.281629503,5.914030589,0.361813465,4.307802282,2.380476143,26.4223,4.3041,3.7573,1000.0697,1,27.5724,28.746,5.1118,1017.8724,8.5
Sanquianga,NA,Alta,28.1474125,26.67130833,4.8573375,1016.1364,6.75,28.1894,27.841,4.86785,1017.0021,6.75,24,24,24,24,24,0.117624256,3.812832633,0.278382241,2.794813621,3.535533906,27.64,10.6847,4.3428,1004.4749,1,28.2108,30.0411,5.5511,1018.6515,12.5
Sanquianga,NA,Baja,27.36917586,23.5722931,4.281961538,1014.083779,8,27.5272,24.7582,4.4372,1014.8983,8,29,29,29,29,29,0.43195572,5.613536332,0.30611737,4.018738523,4.257346591,25.4704,0.4015,3.7045,997.4123,1,27.5943,27.0294,4.5668,1016.6084,15
